minimal_pair,paradigm,delta_score_42_childes,delta_score_13_childes,delta_score_30_childes,delta_score_42_wiki,delta_score_13_wiki,delta_score_30_wiki,delta_avg_childes,delta_avg_wiki
"le gamin casse le verre et rentre dans la chambre, les gamins cassent le verre et rentre dans la chambre",long_vp_coord,1.6537981033325213,-0.5789909362792951,0.6560506820678711,-0.5752573013305682,0.17214488983154297,0.8611211776733398,0.5769526163736991,0.15266958872477154
"les gamins cassent le verre et rentrent dans la chambre, le gamin casse le verre et rentrent dans la chambre",long_vp_coord,0.08469295501708984,2.313389778137207,0.6080055236816406,4.609578132629393,4.765117645263672,4.810324668884277,1.0020294189453125,4.72834014892578
"le gamin casse le verre et continue sur la route, les gamins cassent le verre et continue sur la route",long_vp_coord,1.0953664779663086,-0.9887208938598633,0.7844247817993146,-1.4720649719238281,-0.016511917114257812,-0.5647506713867205,0.29702345530192,-0.6844425201416021
"les gamins cassent le verre et continuent sur la route, le gamin casse le verre et continuent sur la route",long_vp_coord,2.9820556640625,3.5403718948364276,0.05362892150878551,4.589662551879883,4.4769182205200195,5.904168128967285,2.192018826802571,4.9902496337890625
"le gamin casse le verre et suit le long chemin, les gamins cassent le verre et suit le long chemin",long_vp_coord,0.3739042282104492,-0.8819379806518555,-0.3887376785278338,-1.1667451858520508,0.4134063720703125,-1.1539039611816388,-0.29892381032308,-0.635747591654459
"les gamins cassent le verre et suivent le long chemin, le gamin casse le verre et suivent le long chemin",long_vp_coord,0.763310432434082,2.825756549835205,1.1416072845458984,3.1933727264404297,3.832111358642578,5.839198112487793,1.5768914222717285,4.288227399190267
"le gamin casse le verre et rend le stylo à sa maman, les gamins cassent le verre et rend le stylo à sa maman",long_vp_coord,1.3339548110961932,-1.0054845809936541,1.2438173294067365,-0.45851898193359375,-0.4998769760131836,-1.7999229431152362,0.5240958531697585,-0.9194396336873378
"les gamins cassent le verre et rendent le stylo à sa maman, le gamin casse le verre et rendent le stylo à sa maman",long_vp_coord,0.39971208572387873,5.179605960845951,1.3040781021118164,2.2185201644897443,3.942638397216795,5.572136878967287,2.294465382893882,3.911098480224609
"le gamin casse le verre et va au marché, les gamins cassent le verre et va au marché",long_vp_coord,1.9083194732666051,0.43962669372558594,2.010727882385254,-0.17417240142822266,0.6444168090820312,0.2840156555175781,1.4528913497924816,0.2514200210571289
"les gamins cassent le verre et vont au marché, le gamin casse le verre et vont au marché",long_vp_coord,-0.09648799896240057,2.1945362091064453,-0.4649696350097656,4.058721542358398,4.1832122802734375,5.584367275238037,0.5443595250447597,4.608767032623291
"le gamin casse le verre et permet l'accès aux escaliers, les gamins cassent le verre et permet l'accès aux escaliers",long_vp_coord,0.47324085235595703,-1.2430076599121076,0.07248878479003906,-0.49015092849731445,0.09722518920898438,-0.9504938125610352,-0.23242600758870383,-0.44780651728312176
"les gamins cassent le verre et permettent l'accès aux escaliers, le gamin casse le verre et permettent l'accès aux escaliers",long_vp_coord,0.5619230270385742,3.3510680198669434,1.544480323791504,2.794050693511963,4.400195121765137,6.403237342834473,1.8191571235656738,4.5324943860371905
"le gamin rentre dans la chambre et continue sur la route, les gamins rentrent dans la chambre et continue sur la route",long_vp_coord,0.3031826019287127,0.23084640502929688,0.7468252182006836,1.3617520332336426,2.835446357727051,1.9466185569763184,0.4269514083862311,2.0479389826456704
"les gamins rentrent dans la chambre et continuent sur la route, le gamin rentre dans la chambre et continuent sur la route",long_vp_coord,1.440220832824707,0.34361743927001953,-0.3662471771240252,4.301562786102295,4.1735410690307635,4.209733009338379,0.47253036499023376,4.228278954823812
"le gamin rentre dans la chambre et suit le long chemin, les gamins rentrent dans la chambre et suit le long chemin",long_vp_coord,-0.4620323181152344,-0.81103515625,-1.0944814682006854,1.6592516899108878,3.3487396240234375,2.2512173652648926,-0.7891829808553066,2.4197362263997393
"les gamins rentrent dans la chambre et suivent le long chemin, le gamin rentre dans la chambre et suivent le long chemin",long_vp_coord,0.7163524627685547,2.8837804794311506,2.410761833190918,2.8510284423828125,3.114900588989258,3.4377093315124494,2.0036315917968746,3.1345461209615064
"le gamin rentre dans la chambre et rend le stylo à sa maman, les gamins rentrent dans la chambre et rend le stylo à sa maman",long_vp_coord,-0.5509519577026367,0.28832340240478516,0.5769815444946289,1.4229898452758771,1.720484733581543,2.0183029174804688,0.10478432973225911,1.7205924987792962
"les gamins rentrent dans la chambre et rendent le stylo à sa maman, le gamin rentre dans la chambre et rendent le stylo à sa maman",long_vp_coord,0.850456714630127,0.8667349815368652,-0.006078243255615234,3.1610426902770996,3.099064826965332,4.168919086456299,0.570371150970459,3.47634220123291
"le gamin rentre dans la chambre et va au marché, les gamins rentrent dans la chambre et va au marché",long_vp_coord,1.2104229927062988,1.2721929550170898,0.0292510986328125,2.633669376373291,3.427560806274414,2.892050266265869,0.837289015452067,2.984426816304525
"les gamins rentrent dans la chambre et vont au marché, le gamin rentre dans la chambre et vont au marché",long_vp_coord,1.8235082626342773,1.9828524589538574,2.3846797943115234,3.5019965171813965,3.564039707183838,3.8449707031250018,2.0636801719665527,3.637002309163412
"le gamin rentre dans la chambre et permet l'accès aux escaliers, les gamins rentrent dans la chambre et permet l'accès aux escaliers",long_vp_coord,-0.5047311782836896,0.07098865509033203,-0.46199893951416016,2.0986485481262207,3.65421772003174,1.62884521484375,-0.2985804875691726,2.4605704943339037
"les gamins rentrent dans la chambre et permettent l'accès aux escaliers, le gamin rentre dans la chambre et permettent l'accès aux escaliers",long_vp_coord,0.746741771697998,0.4000110626220721,2.190670013427731,3.6717629432678223,5.15487813949585,6.7973761558532715,1.1124742825826004,5.2080057462056475
"le gamin continue sur la route et suit le long chemin, les gamins continuent sur la route et suit le long chemin",long_vp_coord,-0.10319042205810547,-0.3860893249511719,-0.9406785964965838,1.0212011337280273,2.1555190086364746,0.9652080535888654,-0.47665278116862037,1.3806427319844559
"les gamins continuent sur la route et suivent le long chemin, le gamin continue sur la route et suivent le long chemin",long_vp_coord,0.5104579925537127,2.4145431518554705,2.552588462829588,3.6708736419677734,3.342507839202881,3.101607322692871,1.8258632024129238,3.3716629346211753
