singular,plural,gender,total_frequency
tasche,taschen,Fem,9
erschütterung,erschütterungen,Fem,9
bäckerei,bäckereien,Fem,9
dieb,diebe,Masc,9
kamel,kamele,Masc,9
entspann,entspannen,Fem,9
filmstar,filmstars,Masc,9
schlimme,schlimmste,Masc,9
puppe,puppen,Fem,9
eile,eilen,Fem,8
kabine,kabinen,Fem,8
erkältung,erkältungen,Fem,8
bemalt,bemalte,Fem,8
meisterwerk,meisterwerke,Neut,8
provokation,provokationen,Fem,8
kegel,kegels,Neut,8
waagerecht,waagerechte,Neut,8
wechselhaft,wechselhaften,Fem,8
fahrgast,fahrgäste,Masc,8
kassette,kassetten,Fem,8
frisur,frisuren,Fem,8
bind,binder,Neut,8
akazie,akazien,Neut,8
ratschlag,ratschläge,Masc,8
wirbel,wirbeln,Masc,7
reservat,reservaten,Neut,7
spannend,spannenden,Masc,7
prospekt,prospekte,Masc,7
schmuckstück,schmuckstücke,Neut,7
reh,rehen,Masc,7
nas,nasse,Neut,7
bösewicht,bösewichte,Fem,7
schrei,schreie,Fem,7
tablett,tabletten,Neut,7
geschält,geschälten,Neut,6
böschung,böschungen,Fem,6
koralle,korallen,Fem,6
mikrofon,mikrofonen,Neut,6
verschlang,verschlangen,Masc,6
hecht,hechte,Neut,6
portion,portionen,Fem,6
kreisel,kreiseln,Masc,6
packung,packungen,Fem,6
raupe,raupen,Masc,6
aale,aalen,Fem,6
souvenir,souvenirs,Neut,5
gröberen,gröbere,Masc,5
pfanne,pfannen,Fem,5
spaziergang,spaziergänge,Masc,5
blondine,blondinen,Fem,5
fahrplan,fahrpläne,Masc,5
ölfeld,ölfelder,Neut,5
bauernhof,bauernhöfe,Masc,5
tapete,tapeten,Masc,5
gluck,glucks,Masc,5
würfelspiel,würfelspiele,Neut,5
fabrikant,fabrikanten,Masc,5
absperrung,absperrungen,Fem,5
bauarbeiter,bauarbeitern,Masc,5
rufname,rufnamen,Fem,5
traube,trauben,Fem,5
rettungsboot,rettungsboote,Fem,5
dummheit,dummheiten,Fem,5
tonband,tonbänder,Neut,5
bude,buden,Neut,5
ballspiel,ballspiele,Neut,5
baumstamm,baumstämme,Masc,5
kreist,kreiste,Masc,5
