singular,plural,gender,total_frequency
ohr,ohren,Neut,43
unsicher,unsicheren,Masc,43
note,noten,Fem,43
gemischt,gemischte,Neut,43
riesiges,riesigen,Fem,43
übung,übungen,Fem,43
helle,hellen,Fem,43
gerades,geraden,Fem,43
hofft,hoffte,Neut,42
erlebnis,erlebnisse,Neut,41
tür,türen,Fem,41
gebet,gebete,Neut,40
verspricht,versprechen,Neut,40
kurve,kurven,Fem,40
theaterstück,theaterstücke,Neut,39
polizist,polizisten,Masc,39
schulter,schultern,Fem,39
fahne,fahnen,Fem,39
glied,glieder,Neut,38
kunstwerk,kunstwerken,Neut,38
tisch,tischen,Masc,38
paket,paketen,Masc,38
lokomotive,lokomotiven,Fem,38
chip,chips,Masc,38
rad,räder,Neut,37
explosion,explosionen,Fem,37
drache,drachen,Fem,37
geheimnis,geheimnisse,Neut,37
grube,gruben,Masc,37
quadrat,quadraten,Fem,37
knappe,knappen,Fem,37
order,orders,Fem,37
vermischt,vermischte,Neut,37
anstrengung,anstrengungen,Fem,36
freude,freuden,Fem,36
etage,etagen,Fem,36
wanderung,wanderungen,Fem,36
verschieben,verschiebe,Neut,35
baustein,bausteinen,Masc,35
verrat,verraten,Fem,34
hund,hunden,Masc,34
übt,übten,Fem,34
pause,pausen,Fem,34
gras,gräser,Neut,34
dose,dosen,Fem,33
hervorragende,hervorragenden,Fem,33
schwert,schwerter,Neut,33
anleitung,anleitungen,Fem,33
geschenk,geschenken,Neut,32
kreuzung,kreuzungen,Fem,32
professionell,professionellen,Fem,32
reserve,reserven,Fem,32
gekocht,gekochten,Neut,31
unterhaltung,unterhaltungen,Fem,31
nase,nasen,Fem,31
lohn,löhnen,Masc,31
farbstoff,farbstoffe,Masc,31
schild,schilder,Neut,30
freundin,freundinnen,Fem,30
lippe,lippen,Fem,29
geräusch,geräusche,Neut,29
mehl,mehlen,Masc,29
verbraucht,verbrauchten,Fem,29
haaren,haare,Neut,29
bemerkung,bemerkungen,Fem,29
ratte,ratten,Fem,29
automat,automaten,Fem,28
korb,körbe,Masc,28
rekord,rekorde,Masc,28
aufforderung,aufforderungen,Fem,28
kartoffel,kartoffeln,Fem,28
monstern,monster,Masc,28
abfall,abfallen,Fem,28
larve,larven,Fem,27
schnittpunkt,schnittpunkten,Masc,27
passend,passende,Neut,27
scheibe,scheiben,Fem,27
eigenname,eigennamen,Fem,27
tante,tanten,Fem,27
nachname,nachnamen,Fem,27
raumschiff,raumschiffe,Neut,26
rind,rinder,Neut,26
kräuter,kräutern,Fem,26
schallplatte,schallplatten,Fem,26
pfeil,pfeile,Neut,25
klug,klugen,Fem,25
farm,farmen,Fem,25
ast,ästen,Masc,25
geschicktes,geschickte,Neut,25
kuppel,kuppeln,Fem,25
überschwemmung,überschwemmungen,Fem,24
steppe,steppen,Fem,24
wunde,wunden,Fem,24
brett,bretter,Neut,24
lebendiges,lebendige,Neut,23
zwilling,zwillingen,Masc,23
affe,affen,Fem,23
fliegende,fliegender,Neut,23
sparkasse,sparkassen,Fem,23
grauer,graue,Masc,23
süß,süßer,Neut,23
kuh,kühe,Fem,23
schwein,schweine,Neut,23
vorrat,vorräte,Masc,23
holte,holten,Fem,23
mild,milder,Neut,23
termin,termine,Masc,23
nest,nester,Neut,23
record,recorder,Neut,22
eisenbahnstrecke,eisenbahnstrecken,Fem,22
entdecken,entdecke,Masc,22
nachmittag,nachmittage,Masc,21
spruch,sprüche,Masc,21
flasche,flaschen,Fem,21
verzierung,verzierungen,Fem,21
konto,konten,Neut,21
fell,felle,Neut,21
