singular,plural,gender,total_frequency
form,formen,Fem,1934
film,filmen,Masc,1891
name,namen,Masc,1734
zahl,zahlen,Fem,1594
million,millionen,Fem,1444
land,länder,Neut,1430
arbeit,arbeiten,Fem,1392
begriff,begriffen,Masc,1381
werk,werke,Neut,1361
falle,fällen,Masc,1289
welt,welten,Fem,1269
rolle,rollen,Fem,1260
macht,machte,Fem,1248
frau,frauen,Fem,1162
geschichte,geschichten,Fem,1145
tag,tage,Masc,1135
folge,folgen,Fem,1126
gruppe,gruppen,Fem,1115
person,personen,Fem,1114
begann,begannen,Masc,1046
verschiedenes,verschiedene,Neut,1031
mitglied,mitglieder,Neut,1029
kirche,kirchen,Fem,1027
letzter,letzten,Fem,1020
grund,gründen,Masc,1011
seite,seiten,Fem,989
stand,stande,Masc,984
verbindung,verbindungen,Fem,976
regel,regeln,Fem,976
stelle,stellen,Fem,962
familie,familien,Fem,959
gebiet,gebiete,Neut,950
