singular,plural,gender,total_frequency
kleidungsstück,kleidungsstücken,Fem,4
qualle,quallen,Fem,4
zigarre,zigarren,Fem,4
apfelbaum,apfelbäume,Masc,4
manier,manieren,Fem,4
sonnenbrille,sonnenbrillen,Fem,4
kleinigkeit,kleinigkeiten,Fem,4
kirsch,kirsche,Masc,4
stiefel,stiefeln,Fem,4
allererst,allerersten,Fem,3
verspätung,verspätungen,Fem,3
hosentasche,hosentaschen,Fem,3
kaulquappe,kaulquappen,Fem,3
hausarbeit,hausarbeiten,Fem,3
ferienhaus,ferienhäuser,Neut,3
ventilator,ventilatoren,Masc,3
oberleitung,oberleitungen,Fem,3
fackel,fackeln,Masc,3
bröckelt,bröckelte,Neut,3
rinn,rinnen,Fem,3
nilpferde,nilpferden,Fem,3
gefechts,gefechtes,Masc,3
lachend,lachende,Masc,3
kappe,kappen,Fem,3
kochtopf,kochtöpfe,Masc,3
liebstes,liebste,Masc,3
scheck,schecks,Masc,3
ameise,ameisen,Fem,3
pinsel,pinseln,Fem,3
stromleitung,stromleitungen,Fem,3
motte,motten,Fem,3
sessel,sesseln,Fem,3
wasserfall,wasserfälle,Masc,3
bube,buben,Fem,3
schnäbel,schnäbeln,Fem,3
traktor,traktoren,Masc,3
hinge,hingen,Fem,2
knalle,knallen,Fem,2
hosenbein,hosenbeinen,Neut,2
schornstein,schornsteinen,Masc,2
modelleisenbahn,modelleisenbahnen,Fem,2
armbanduhr,armbanduhren,Fem,2
wasserdicht,wasserdichte,Fem,2
happe,happen,Fem,2
umrandung,umrandungen,Fem,2
planierraupe,planierraupen,Fem,2
schaufel,schaufeln,Fem,2
fleckig,fleckigen,Neut,2
vorletzter,vorletzte,Masc,2
tauschgeschäft,tauschgeschäfte,Fem,2
nachspiel,nachspielen,Neut,2
beschlag,beschlagen,Fem,2
