singular,plural,gender,total_frequency
kampf,kämpfen,Masc,431
angabe,angaben,Fem,423
ebene,ebenen,Fem,418
vorstellung,vorstellungen,Fem,417
position,positionen,Fem,414
masse,massen,Fem,413
beste,guten,Masc,412
preis,preise,Masc,409
ausdruck,ausdrücke,Masc,407
kreis,kreises,Masc,406
woche,wochen,Fem,403
bedingung,bedingungen,Fem,398
roman,romane,Masc,396
tier,tiere,Neut,395
farbe,farben,Fem,393
version,versionen,Fem,391
lauf,laufe,Masc,391
versuch,versuche,Masc,391
band,bänder,Neut,382
lösung,lösungen,Fem,381
weiß,weiße,Neut,378
maschine,maschinen,Fem,376
besonderes,besondere,Neut,375
bruder,brüder,Masc,374
modell,modellen,Neut,371
volk,völker,Neut,371
fläche,flächen,Fem,364
japanische,japanischen,Fem,360
tonne,tonnen,Fem,359
tochter,töchter,Fem,359
spezielle,speziellen,Fem,358
material,materialien,Neut,349
hand,händen,Fem,347
zustand,zustände,Masc,347
krankheit,krankheiten,Fem,346
handel,handels,Masc,339
buchstabe,buchstaben,Masc,338
maß,maße,Neut,337
brief,briefe,Masc,335
ähnlichen,ähnliche,Neut,334
zeitung,zeitungen,Fem,334
situation,situationen,Fem,333
leistung,leistungen,Fem,330
stoff,stoffen,Masc,326
wirkt,wirkte,Masc,314
rede,reden,Fem,312
minute,minuten,Fem,309
gegenstand,gegenständen,Masc,306
entsprechendes,entsprechenden,Neut,305
wahre,wahren,Fem,304
klasse,klassen,Fem,300
phase,phasen,Fem,299
schiff,schiffe,Neut,299
stern,sternen,Masc,298
aufnahme,aufnahmen,Fem,296
schicht,schichten,Fem,296
arzt,ärzte,Masc,295
entdeckung,entdeckungen,Fem,294
tätigkeit,tätigkeiten,Fem,292
gewinn,gewinnen,Masc,290
auge,augen,Neut,289
strecke,strecken,Fem,287
maßnahme,maßnahmen,Fem,286
sonne,sonnen,Fem,286
spielern,spieler,Masc,285
junges,jüngste,Neut,280
reise,reisen,Fem,278
uhr,uhren,Fem,276
figur,figuren,Fem,276
stück,stücke,Neut,270
faktor,faktoren,Masc,269
projekt,projekten,Neut,268
vertrag,vertragen,Masc,264
beobachtung,beobachtungen,Fem,264
gerät,geräte,Neut,263
typ,typen,Fem,262
anspruch,ansprüche,Masc,261
rest,resten,Masc,261
freund,freunde,Masc,260
verband,verbände,Masc,258
anlage,anlagen,Fem,258
see,seen,Masc,257
geist,geister,Masc,255
schnitt,schnitten,Masc,253
firma,firmen,Fem,251
breit,breiten,Fem,251
drittel,dritteln,Neut,248
gefahr,gefahren,Fem,248
elefant,elefanten,Masc,247
blüte,blüten,Fem,245
parken,parke,Neut,245
voraussetzung,voraussetzungen,Fem,244
ereignis,ereignisse,Neut,238
weite,weiten,Fem,237
kino,kinos,Neut,237
meer,meere,Neut,235
fähigkeit,fähigkeiten,Fem,234
gewicht,gewichte,Neut,232
licht,lichter,Neut,232
kern,kerne,Masc,232
student,studenten,Masc,230
patient,patienten,Masc,229
bank,banken,Fem,228
erfahrung,erfahrungen,Fem,228
bericht,berichte,Masc,224
symbol,symbole,Neut,219
plan,pläne,Masc,217
aktiven,aktive,Neut,215
meinung,meinungen,Fem,213
verein,vereinen,Masc,212
negative,negativen,Fem,210
heer,heere,Neut,210
christ,christen,Masc,208
feld,felder,Neut,208
erzählung,erzählungen,Fem,208
gestalt,gestalten,Fem,206
diskussion,diskussionen,Fem,205
zugang,zugänge,Masc,204
aktion,aktionen,Fem,204
leitung,leitungen,Fem,204
geld,gelder,Neut,203
