singular,plural,gender,total_frequency
ecke,ecken,Fem,92
wild,wilder,Neut,92
bein,beinen,Neut,91
station,stationen,Fem,91
ideal,ideale,Neut,91
gast,gäste,Masc,91
held,helden,Masc,91
fach,fächern,Neut,90
zeichnung,zeichnungen,Fem,89
original,originale,Neut,89
chance,chancen,Fem,88
leg,legen,Fem,88
boot,booten,Neut,87
haushalt,haushalten,Masc,86
angst,ängste,Fem,86
kontinent,kontinente,Masc,86
unterlage,unterlagen,Fem,85
dreieck,dreiecke,Neut,85
öffnung,öffnungen,Fem,85
hoffnung,hoffnungen,Fem,84
äußerung,äußerungen,Fem,84
malerei,malereien,Fem,84
hülle,hüllen,Fem,83
eisenbahn,eisenbahnen,Fem,83
argument,argumenten,Neut,83
zeile,zeilen,Fem,82
fünfter,fünften,Masc,82
fuhr,fuhren,Masc,81
verlieren,verliere,Neut,81
wein,weine,Masc,81
endung,endungen,Fem,81
eingang,eingänge,Masc,81
sitzung,sitzungen,Fem,80
fenstern,fenster,Neut,80
spanisch,spanischer,Masc,79
verschwand,verschwanden,Masc,79
zugehörigkeit,zugehörigkeiten,Fem,79
mönch,mönche,Masc,78
zeugnis,zeugnisse,Neut,78
korn,körner,Neut,78
gorilla,gorillas,Masc,78
verletzung,verletzungen,Fem,78
runde,runden,Fem,76
gelegenheit,gelegenheiten,Fem,75
platte,platten,Fem,73
getränk,getränke,Neut,73
schwäche,schwächen,Fem,72
mord,mords,Masc,71
kommentar,kommentare,Masc,71
heirat,heiraten,Fem,71
grundschule,grundschulen,Fem,70
batterie,batterien,Fem,69
strafe,strafen,Fem,69
marke,marken,Fem,69
papier,papiere,Neut,69
achse,achsen,Fem,68
trenne,trennen,Fem,68
floh,flöhe,Neut,68
bedürfnis,bedürfnisse,Neut,68
vermutung,vermutungen,Fem,68
feststellung,feststellungen,Fem,68
gefährlich,gefährliche,Masc,68
brand,brände,Masc,67
geheim,geheime,Masc,66
bus,busse,Masc,66
medikament,medikamente,Neut,65
verpflichtung,verpflichtungen,Fem,65
gang,gänge,Masc,65
foto,fotos,Neut,64
abend,abende,Masc,62
wand,wände,Fem,62
feuerwehr,feuerwehren,Fem,62
feier,feiern,Neut,62
ingenieur,ingenieure,Masc,62
protokoll,protokolle,Neut,61
abzug,abzüge,Masc,60
gefühl,gefühlen,Neut,60
rakete,raketen,Fem,60
benennung,benennungen,Fem,60
reichtum,reichtümer,Masc,60
höhle,höhlen,Fem,59
bett,betten,Neut,59
binde,binden,Fem,58
familienname,familiennamen,Fem,58
wiese,wiesen,Fem,58
jäger,jägern,Masc,57
kauf,kaufe,Masc,56
palast,palästen,Masc,56
neigung,neigungen,Fem,56
vorname,vornamen,Masc,55
last,lasten,Fem,55
spalte,spalten,Masc,55
spaniern,spanier,Masc,55
verzicht,verzichte,Masc,55
schlosses,schlösser,Neut,54
leer,leeren,Neut,54
dach,dächer,Neut,54
experte,experten,Masc,54
kraftwerk,kraftwerke,Neut,54
aussicht,aussichten,Fem,54
eiche,eichen,Fem,53
straßenbahn,straßenbahnen,Fem,53
feuchte,feuchten,Fem,53
katastrophe,katastrophen,Fem,53
nachbar,nachbarn,Masc,52
gewünscht,gewünschten,Masc,52
tour,touren,Fem,52
separat,separaten,Fem,52
fetter,fetten,Masc,50
traum,träume,Masc,50
geschmack,geschmacks,Masc,49
richte,richten,Fem,48
video,videos,Neut,48
schwäbischen,schwäbische,Masc,48
bulle,bullen,Masc,47
begrenzung,begrenzungen,Masc,47
gesicht,gesichter,Neut,47
schiene,schienen,Fem,47
motor,motoren,Masc,46
interessantes,interessanten,Neut,46
schleife,schleifen,Fem,46
satellit,satelliten,Masc,46
riese,riesen,Masc,46
fotograf,fotografen,Masc,46
bombe,bomben,Fem,46
säule,säulen,Fem,45
fabrik,fabriken,Fem,45
fundament,fundamente,Neut,45
schein,scheine,Masc,45
bremse,bremsen,Fem,45
ruine,ruinen,Fem,45
sendung,sendungen,Fem,44
unfall,unfälle,Masc,44
tunnel,tunneln,Fem,44
dunkel,dunkeln,Neut,44
lücke,lücken,Fem,44
