singular,plural,gender,total_frequency
auftaucht,auftauchte,Fem,20
narbe,narben,Fem,20
überreicht,überreichte,Fem,20
knie,knien,Neut,20
matt,matten,Fem,20
ziege,ziegen,Fem,20
merkt,merkten,Masc,20
knabe,knaben,Fem,20
wüst,wüsten,Neut,20
gemalt,gemalten,Masc,19
hole,holen,Fem,19
mühle,mühlen,Fem,19
suppe,suppen,Fem,19
steile,steilen,Fem,19
zettel,zetteln,Fem,19
verpackung,verpackungen,Fem,19
taube,tauben,Fem,19
defekt,defekte,Neut,18
folie,folien,Fem,18
baustelle,baustellen,Fem,18
bitter,bitteren,Neut,18
lob,loben,Neut,18
abdruck,abdrücke,Masc,18
mühe,mühen,Fem,18
umschlag,umschlagen,Fem,18
vorhang,vorhänge,Masc,18
briefumschlag,briefumschläge,Masc,17
blattläuse,blattläusen,Fem,17
blase,blasen,Fem,17
pfennig,pfennigen,Fem,17
schranke,schranken,Fem,17
lehrerin,lehrerinnen,Fem,17
kasse,kassen,Fem,17
würfel,würfeln,Masc,17
trick,tricks,Masc,17
ernsthaftes,ernsthaften,Fem,17
zigarette,zigaretten,Fem,16
durchfahrt,durchfahrten,Fem,16
buchhandlung,buchhandlungen,Fem,16
züchtung,züchtungen,Fem,16
einlage,einlagen,Fem,16
klappe,klappen,Fem,16
neunter,neunte,Masc,16
unternehmung,unternehmungen,Fem,16
neuestes,neueste,Masc,16
pille,pillen,Fem,16
schnecke,schnecken,Fem,16
rohr,rohre,Neut,16
krug,krüge,Masc,16
grabstein,grabsteinen,Masc,15
chaotisch,chaotischen,Masc,15
glocke,glocken,Fem,15
stift,stifte,Neut,15
miete,mieten,Fem,15
zunge,zungen,Fem,14
schärfe,schärfen,Fem,14
stau,staus,Masc,14
zelt,zelte,Neut,14
fliegern,flieger,Masc,14
postkarte,postkarten,Fem,14
wahnsinnig,wahnsinnigen,Masc,14
lüge,lügen,Fem,14
zuschlag,zuschlagen,Masc,14
sauber,sauberen,Masc,13
passe,pässe,Fem,13
dampflokomotive,dampflokomotiven,Fem,13
reit,reiten,Fem,13
duft,duften,Masc,13
haltestelle,haltestellen,Fem,13
gestreift,gestreifte,Neut,12
ampel,ampeln,Fem,12
trank,tränke,Fem,12
aquarium,aquarien,Neut,12
baracke,baracken,Fem,12
dekoration,dekorationen,Fem,12
anhalt,anhalten,Masc,12
motorrädern,motorräder,Neut,12
einkauf,einkäufe,Masc,12
apparat,apparaten,Masc,12
kleinkind,kleinkinder,Neut,12
brille,brillen,Fem,12
pumpe,pumpen,Fem,12
ausflug,ausflüge,Masc,11
unglückliches,unglückliche,Neut,11
gebrauche,gebrauchen,Fem,11
ent,enten,Fem,11
zauber,zaubern,Masc,11
rüstung,rüstungen,Fem,11
wetterlage,wetterlagen,Fem,11
talsperre,talsperren,Fem,11
supermarkt,supermärkte,Masc,11
matrose,matrosen,Masc,11
halt,halts,Masc,11
gleis,gleise,Neut,10
räuber,räubern,Masc,10
tankstelle,tankstellen,Fem,10
schwenkt,schwenkte,Masc,10
schenke,schenken,Fem,10
kasten,kästen,Masc,10
glaubensrichtung,glaubensrichtungen,Fem,10
getrockneter,getrocknete,Masc,10
artist,artisten,Fem,10
weihnachtsbaum,weihnachtsbäume,Masc,10
abmachung,abmachungen,Fem,10
überraschung,überraschungen,Fem,10
schlucht,schluchten,Masc,10
