singular,plural,gender,total_frequency
zeitschrift,zeitschriften,Fem,200
weibliche,weiblichen,Fem,200
waffe,waffen,Fem,197
brücke,brücken,Fem,195
fuß,füße,Masc,194
liegende,liegenden,Fem,194
berges,bergen,Neut,194
fluß,flüssen,Masc,193
stein,steine,Masc,192
geburt,geburten,Fem,192
paar,paaren,Neut,191
bahn,bahnen,Fem,189
garten,gärten,Masc,187
blatt,blätter,Neut,187
tat,taten,Fem,187
autobahn,autobahnen,Fem,187
nachricht,nachrichten,Fem,185
absolutes,absolute,Neut,184
kopf,köpfe,Masc,182
professor,professoren,Masc,181
welle,wellen,Fem,181
mauer,mauern,Fem,178
sekunde,sekunden,Fem,178
verlag,verlage,Masc,177
männliche,männlichen,Fem,177
zug,züge,Masc,176
stufe,stufen,Fem,176
großes,grosse,Neut,176
tor,tore,Neut,176
vorschlag,vorschlagen,Masc,175
veranstaltung,veranstaltungen,Fem,175
entfernung,entfernungen,Fem,174
königlich,königliche,Masc,174
stärke,stärken,Fem,174
gespräch,gespräche,Neut,173
glas,gläser,Neut,172
erfindung,erfindungen,Fem,171
schwester,schwestern,Fem,171
gedanke,gedanken,Masc,170
besuch,besuche,Masc,170
bauwerk,bauwerke,Neut,169
ton,töne,Masc,164
stamm,stämme,Masc,164
ausstellung,ausstellungen,Fem,163
wohnung,wohnungen,Fem,163
rand,rande,Masc,160
gabe,gaben,Fem,160
dorf,dörfer,Neut,159
architekt,architekten,Masc,159
herrn,herren,Masc,158
lager,lagern,Neut,158
ring,ringe,Masc,157
komplex,komplexe,Masc,154
konstruktion,konstruktionen,Fem,154
bahnhof,bahnhöfen,Masc,153
hinweis,hinweisen,Masc,153
bauer,bauern,Masc,150
antwort,antworten,Fem,150
experiment,experimente,Neut,149
franzose,franzosen,Masc,149
kontext,kontexten,Fem,147
spur,spuren,Fem,147
guter,güter,Neut,144
geschäft,geschäften,Neut,143
erwachsener,erwachsenen,Masc,141
wald,wälder,Masc,141
schwierigkeit,schwierigkeiten,Fem,141
obersten,oberste,Neut,140
harte,harten,Fem,140
fortschritt,fortschritte,Masc,139
oper,opern,Fem,138
abteilung,abteilungen,Fem,137
angebot,angebote,Neut,136
wechsel,wechseln,Masc,135
gedichts,gedichte,Neut,134
schaden,schäden,Masc,134
sache,sachen,Fem,133
lied,lieder,Neut,133
wunsch,wünsche,Masc,132
signal,signale,Neut,131
messe,messen,Fem,131
leichte,leichten,Fem,128
zweig,zweigen,Masc,127
turm,türme,Masc,127
detail,details,Neut,124
feuer,feuern,Masc,124
frucht,früchte,Fem,124
streit,streiten,Fem,122
album,albums,Neut,122
krone,kronen,Fem,121
mischung,mischungen,Fem,120
wind,winde,Masc,117
blick,blicken,Masc,117
landschaft,landschaften,Fem,116
erbe,erben,Neut,112
nachfrage,nachfragen,Fem,110
kette,ketten,Fem,110
pflicht,pflichten,Fem,107
schuld,schulden,Fem,107
anweisung,anweisungen,Fem,106
kunde,kunden,Masc,105
steuer,steuern,Fem,105
ladung,ladungen,Fem,104
strenge,strengen,Fem,103
kollege,kollegen,Masc,102
karte,karten,Fem,102
griff,griffe,Masc,100
insekt,insekten,Neut,100
nummer,nummern,Fem,100
wärme,wärmen,Fem,99
vorbereitung,vorbereitungen,Fem,99
störung,störungen,Fem,99
admiral,admirale,Neut,99
hotel,hotels,Neut,99
auto,autos,Neut,98
adresse,adressen,Fem,98
wachse,wachsen,Masc,97
flügel,flügeln,Fem,96
feind,feinde,Masc,95
flug,flüge,Masc,94
