sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
a friend of pamela hasn't attacked one person and ann hasn't attacked more unsure person.,-154.62423706054688,-157.1945037841797,-146.9486846923828,-140.5401153564453,-140.15814208984375,-139.3934326171875,-180.01864624023438,-180.229248046875,-159.25112915039062,-144.34632873535156,-140.01991271972656,-140.7748565673828,-136.93812561035156,-133.3565673828125,-138.49560546875,-127.82769012451172,-133.94723510742188,-132.80201721191406
a friend of pamela hasn't attacked one unemployed person and ann hasn't attacked more unsure.,-172.80813598632812,-194.3332977294922,-179.80445861816406,-142.96633911132812,-142.4781494140625,-148.7436065673828,-200.5318145751953,-226.6260986328125,-184.74493408203125,-147.13539123535156,-144.76861572265625,-150.23155212402344,-173.94631958007812,-170.5885467529297,-186.9723358154297,-143.47183227539062,-145.70484924316406,-141.85064697265625
larry talked to five dermatologists and rose talked to four displeased dermatologists.,-147.8030548095703,-128.39495849609375,-123.54759979248047,-134.70993041992188,-135.68174743652344,-140.1348419189453,-158.90220642089844,-156.37954711914062,-131.0711669921875,-135.72061157226562,-131.82974243164062,-136.4190216064453,-140.51190185546875,-146.62696838378906,-128.38938903808594,-148.6531524658203,-149.2932891845703,-163.7111053466797
larry talked to five small dermatologists and rose talked to four displeased.,-135.3051300048828,-126.08355712890625,-123.84038543701172,-116.83751678466797,-122.74543762207031,-126.90453338623047,-150.6529541015625,-148.77577209472656,-141.6905059814453,-116.7039794921875,-120.92620849609375,-128.20211791992188,-132.59576416015625,-141.75088500976562,-134.8955535888672,-132.3602294921875,-129.59320068359375,-140.57223510742188
that legislature has three peppers and charles has at least as many small peppers.,-155.8753204345703,-155.00352478027344,-145.07644653320312,-90.48697662353516,-97.90825653076172,-96.3543930053711,-178.7659912109375,-170.15505981445312,-160.230224609375,-96.74906921386719,-98.89884948730469,-97.86068725585938,-104.37845611572266,-112.11302185058594,-112.85882568359375,-101.4869155883789,-99.7017822265625,-99.6790771484375
that legislature has three hidden peppers and charles has at least as many small.,-156.35525512695312,-158.63705444335938,-142.99330139160156,-92.22267150878906,-112.37997436523438,-106.7642822265625,-173.01583862304688,-173.8525390625,-164.0035858154297,-97.94052124023438,-112.18565368652344,-112.18286895751953,-129.0639190673828,-133.90907287597656,-128.9108123779297,-93.22662353515625,-97.25996398925781,-92.75401306152344
a picture does look like four shawls and the photographs of douglas couldn't look like five red shawls.,-129.46502685546875,-138.4754180908203,-136.96229553222656,-140.4835968017578,-138.97149658203125,-153.13034057617188,-156.16403198242188,-149.5281219482422,-156.6949920654297,-142.29013061523438,-138.4249725341797,-153.2789764404297,-97.0897216796875,-112.39717864990234,-109.20941925048828,-123.90779113769531,-116.56260681152344,-115.49282836914062
a picture does look like four blue shawls and the photographs of douglas couldn't look like five red.,-133.6159210205078,-146.8365478515625,-135.7028350830078,-140.12603759765625,-127.6062240600586,-136.41445922851562,-158.8108367919922,-156.03163146972656,-164.28382873535156,-141.49078369140625,-130.0062255859375,-137.50184631347656,-104.48120880126953,-117.02092742919922,-110.0146484375,-111.74541473388672,-107.13197326660156,-111.27848815917969
bill's associate fires a lot of adults and galileo fires a few old adults.,-136.34097290039062,-129.39517211914062,-129.5430450439453,-118.75566101074219,-116.37907409667969,-119.56674194335938,-151.49459838867188,-146.04347229003906,-157.20545959472656,-128.27789306640625,-125.1235122680664,-125.7280502319336,-135.2357940673828,-137.75730895996094,-126.59832763671875,-97.32576751708984,-95.0710678100586,-99.93186950683594
bill's associate fires a lot of popular adults and galileo fires a few old.,-151.517822265625,-139.9756622314453,-143.48329162597656,-123.22320556640625,-117.4873275756836,-122.7377700805664,-162.34706115722656,-159.7840576171875,-169.59304809570312,-131.44419860839844,-124.9601058959961,-129.6468963623047,-152.359619140625,-143.70303344726562,-145.84132385253906,-107.62914276123047,-106.3016357421875,-109.45965576171875
