sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
paula references robert.,-65.19782257080078,-59.555023193359375,-67.51664733886719,-56.9030876159668,-52.83622741699219,-49.94851303100586,-69.15730285644531,-68.7262191772461,-74.5094223022461,-57.22410202026367,-54.99501037597656,-50.132747650146484,-86.80192565917969,-79.72891235351562,-82.48637390136719,-49.774898529052734,-49.62205505371094,-56.076683044433594
paula reference robert.,-61.549713134765625,-50.74379348754883,-56.84606170654297,-57.87489318847656,-55.44097137451172,-53.79652404785156,-67.05095672607422,-59.597686767578125,-60.679222106933594,-60.255516052246094,-55.774044036865234,-54.4000244140625,-72.78627014160156,-68.77670288085938,-73.30941772460938,-55.29182815551758,-54.78530502319336,-60.62230682373047
most legislatures haven't disliked children.,-108.42588806152344,-114.36581420898438,-108.52819061279297,-65.86588287353516,-53.57996368408203,-55.469478607177734,-129.01919555664062,-129.65150451660156,-124.78440856933594,-68.61808013916016,-55.954193115234375,-55.863807678222656,-111.84123992919922,-109.79143524169922,-116.81017303466797,-79.90448760986328,-77.76313018798828,-76.68646240234375
most legislatures hasn't disliked children.,-112.36306762695312,-118.01912689208984,-111.83566284179688,-73.29054260253906,-66.98186492919922,-65.25281524658203,-131.48944091796875,-136.11993408203125,-129.02044677734375,-77.80712127685547,-72.10128021240234,-69.26606750488281,-112.32278442382812,-113.40462493896484,-120.46234893798828,-63.02214050292969,-61.74461364746094,-58.74535369873047
some organizations aren't disturbing vanessa.,-61.5042610168457,-62.56724548339844,-73.51307678222656,-62.39408493041992,-56.39820098876953,-63.17130661010742,-61.4387321472168,-78.00789642333984,-80.20350646972656,-63.085731506347656,-61.18126678466797,-66.82649230957031,-80.74325561523438,-83.08358764648438,-87.5439682006836,-54.40031814575195,-62.004493713378906,-63.48633575439453
some organizations isn't disturbing vanessa.,-66.7929916381836,-62.815773010253906,-76.61115264892578,-68.03846740722656,-61.17688751220703,-68.04411315917969,-65.59081268310547,-78.02227020263672,-80.89871978759766,-68.45125579833984,-66.37943267822266,-71.65164947509766,-82.49600219726562,-85.64688110351562,-92.23155975341797,-60.20747756958008,-65.57072448730469,-68.34596252441406
the cups alarm angela.,-76.20826721191406,-64.79553985595703,-74.33412170410156,-62.636634826660156,-64.89555358886719,-58.891117095947266,-84.24287414550781,-75.04814147949219,-85.73369598388672,-67.16615295410156,-69.09953308105469,-60.64850616455078,-81.81562805175781,-79.7997817993164,-84.91254425048828,-51.50117492675781,-55.95965576171875,-58.090152740478516
the cups alarms angela.,-78.2072525024414,-63.43214416503906,-71.41281127929688,-62.741004943847656,-65.50428009033203,-62.78247833251953,-83.3741226196289,-71.6227035522461,-83.67088317871094,-66.63040161132812,-69.66019439697266,-63.41242980957031,-81.18234252929688,-82.21070861816406,-85.44709777832031,-58.119354248046875,-60.40310287475586,-67.7442855834961
tina isn't ascending that mountain.,-82.87640380859375,-80.47514343261719,-86.4595947265625,-69.52432250976562,-66.70014190673828,-63.91996383666992,-94.63642120361328,-84.7476806640625,-99.7152328491211,-71.97884368896484,-71.1781005859375,-64.49385070800781,-85.09825134277344,-76.46929931640625,-74.48318481445312,-63.12391662597656,-60.914817810058594,-65.67021179199219
tina weren't ascending that mountain.,-87.47543334960938,-84.01976013183594,-88.29444122314453,-62.173919677734375,-61.83340835571289,-68.21810913085938,-101.38555908203125,-91.62284851074219,-95.8851318359375,-64.73749542236328,-65.56788635253906,-67.96859741210938,-89.05440521240234,-78.61692810058594,-78.75350189208984,-91.55641174316406,-90.2228775024414,-92.63484954833984
the borgias see veronica.,-87.47731018066406,-85.42872619628906,-82.75507354736328,-57.07398986816406,-49.42597579956055,-46.004844665527344,-92.07652282714844,-92.55675506591797,-89.27891540527344,-57.28084182739258,-50.29857635498047,-45.17771530151367,-94.54265594482422,-83.42289733886719,-81.54864501953125,-60.57061767578125,-57.079776763916016,-63.47929382324219
the borgias sees veronica.,-92.79093933105469,-92.693115234375,-84.88511657714844,-51.13507843017578,-46.129425048828125,-49.1146354675293,-102.92355346679688,-97.11114501953125,-94.28997802734375,-54.86066436767578,-49.96185302734375,-49.925079345703125,-90.93128967285156,-82.01651000976562,-84.30206298828125,-62.21415710449219,-59.1929817199707,-68.34786224365234
jeffrey hasn't criticized donald.,-76.95243072509766,-77.12936401367188,-76.27057647705078,-48.49728012084961,-46.407447814941406,-46.482215881347656,-90.49125671386719,-87.91400146484375,-89.36550903320312,-47.00898742675781,-48.76301956176758,-45.39414978027344,-89.14895629882812,-93.59236145019531,-94.44288635253906,-43.56584167480469,-41.54962921142578,-43.4025764465332
