sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
every hospital isn't about to tempt tiffany to reference matt.,-121.25030517578125,-118.56165313720703,-118.57023620605469,-117.49283599853516,-115.3823013305664,-100.54229736328125,-127.53695678710938,-128.0213165283203,-126.3882064819336,-114.49732208251953,-112.44352722167969,-103.69052124023438,-115.91816711425781,-119.63346862792969,-122.31854248046875,-111.34944915771484,-111.6279296875,-112.81621551513672
every hospital isn't fun to tempt tiffany to reference matt.,-123.65507507324219,-117.10591125488281,-123.1030502319336,-121.14295959472656,-117.2529296875,-105.65911865234375,-133.7230224609375,-130.9066162109375,-130.9488525390625,-116.50749969482422,-115.4587631225586,-109.03933715820312,-114.97950744628906,-120.90955352783203,-120.21021270751953,-110.58989715576172,-115.32415008544922,-114.6164321899414
rachel was apt to talk to alicia.,-82.50358581542969,-82.958984375,-87.32074737548828,-68.5655746459961,-62.03398132324219,-60.55586624145508,-87.61378479003906,-97.77522277832031,-96.84886169433594,-67.0870361328125,-61.401771545410156,-57.641822814941406,-90.0282974243164,-88.70896911621094,-81.6446304321289,-71.80046081542969,-78.11514282226562,-81.6061019897461
rachel was exciting to talk to alicia.,-69.04889678955078,-78.56421661376953,-71.86738586425781,-67.57877349853516,-60.64008331298828,-59.075984954833984,-78.45906066894531,-90.35516357421875,-79.9416732788086,-66.0677261352539,-56.984500885009766,-56.55770492553711,-71.55188751220703,-67.03614044189453,-69.68836212158203,-67.9534912109375,-72.75120544433594,-73.2939453125
this doctor's cousins aren't soon to question kirsten.,-93.26129913330078,-92.37960052490234,-97.85232543945312,-92.58526611328125,-92.87796020507812,-88.56395721435547,-108.85212707519531,-98.7514419555664,-107.81838989257812,-94.61839294433594,-96.55601501464844,-94.39968872070312,-92.36124420166016,-89.27313995361328,-93.90943145751953,-76.96324157714844,-75.43019104003906,-80.09611511230469
this doctor's cousins aren't interesting to question kirsten.,-91.7565689086914,-88.35472106933594,-95.96295928955078,-93.04345703125,-93.41486358642578,-93.93578338623047,-106.53424072265625,-93.49563598632812,-105.58112335205078,-99.94618225097656,-99.06024169921875,-99.91903686523438,-88.03598022460938,-85.11832427978516,-93.30286407470703,-76.91297912597656,-75.76739501953125,-80.90921783447266
sheila is certain to find stephen to describe this customer.,-96.5877914428711,-103.47543334960938,-107.13504791259766,-91.24227905273438,-100.34923553466797,-94.15092468261719,-106.6706314086914,-117.86664581298828,-127.65574645996094,-93.3238525390625,-102.4775390625,-92.47068786621094,-104.38794708251953,-100.39214324951172,-95.35083770751953,-85.7691879272461,-84.46092987060547,-84.24041748046875
sheila is difficult to find stephen to describe this customer.,-92.63663482666016,-96.87387084960938,-103.05915069580078,-83.27099609375,-90.75076293945312,-83.84491729736328,-99.64532470703125,-108.67594909667969,-116.39955139160156,-86.26806640625,-91.27606201171875,-83.3863754272461,-96.10055541992188,-91.37911987304688,-90.0635986328125,-77.8707275390625,-75.7943115234375,-76.52191162109375
liam's french teachers were sure to want to aggravate many people.,-120.50625610351562,-119.28419494628906,-119.13795471191406,-86.2473373413086,-90.3802719116211,-89.62772369384766,-128.52967834472656,-125.67066955566406,-125.99443054199219,-86.78588104248047,-92.86688232421875,-94.03932189941406,-136.56161499023438,-120.30738067626953,-136.15008544921875,-89.5306167602539,-86.41505432128906,-89.50994873046875
liam's french teachers were irritating to want to aggravate many people.,-129.72373962402344,-133.947021484375,-135.28842163085938,-89.66353607177734,-88.73886108398438,-88.59356689453125,-134.71583557128906,-141.7762908935547,-136.4046173095703,-89.83161163330078,-91.26403045654297,-93.6798095703125,-160.4293975830078,-142.5099334716797,-160.4166717529297,-92.98596954345703,-92.43964385986328,-99.51319885253906
