singular,plural,total_frequency
crane,cranes,51
nurse,nurses,51
chase,chases,51
glory,glories,51
puzzle,puzzles,50
generalization,generalizations,50
log,logs,50
dinner,dinners,50
bride,brides,49
blast,blasts,49
cake,cakes,49
bottle,bottles,49
grape,grapes,49
kernel,kernels,48
shelf,shelves,48
frog,frogs,47
thumb,thumbs,47
harvest,harvests,47
grandmother,grandmothers,47
carriage,carriages,47
hammer,hammers,47
pedal,pedals,47
bag,bags,46
airplane,airplanes,46
bug,bugs,46
trunk,trunks,46
calf,calves,46
joy,joys,46
lime,limes,46
crust,crusts,46
hook,hooks,46
bike,bikes,46
bath,baths,46
worm,worms,45
shoe,shoes,45
gentleman,gentlemen,45
herb,herbs,45
pot,pots,45
toad,toads,45
scout,scouts,45
pant,pants,45
pie,pies,44
diver,divers,44
pad,pads,44
cheer,cheers,44
builder,builders,44
frost,frosts,44
cone,cones,44
olive,olives,43
shuttle,shuttles,43
tanker,tankers,43
bench,benches,43
wonder,wonders,43
stomach,stomachs,43
knee,knees,42
cord,cords,42
mosquito,mosquitoes,42
shirt,shirts,41
peanut,peanuts,41
carbohydrate,carbohydrates,41
serpent,serpents,41
toy,toys,41
oval,ovals,41
attachment,attachments,40
drain,drains,40
photographer,photographers,40
imagination,imaginations,40
basket,baskets,40
ape,apes,40
rainbow,rainbows,39
reservation,reservations,39
elevator,elevators,39
mall,malls,39
jacket,jackets,39
tear,tears,39
soap,soaps,38
microscope,microscopes,38
nickel,nickels,38
cage,cages,38
suspicion,suspicions,38
lease,leases,38
reptile,reptiles,37
pile,piles,37
teen,teens,37
rope,ropes,37
fence,fences,37
bundle,bundles,37
dessert,desserts,36
reunion,reunions,36
brake,brakes,36
bucket,buckets,36
vaccine,vaccines,36
buyer,buyers,36
aunt,aunts,35
alarm,alarms,35
penis,penises,35
invitation,invitations,35
wagon,wagons,35
recorder,recorders,35
boss,bosses,35
panda,pandas,34
fix,fixes,34
classroom,classrooms,34
brush,brushes,34
coke,cokes,34
blizzard,blizzards,34
ceiling,ceilings,34
hound,hounds,34
rabbit,rabbits,34
puppet,puppets,33
float,floats,33
cavity,cavities,33
toe,toes,33
cereal,cereals,33
sink,sinks,33
onion,onions,32
drift,drifts,32
candle,candles,32
doll,dolls,31
glove,gloves,31
hood,hoods,31
tire,tires,30
spine,spines,30
socket,sockets,30
liner,liners,30
lighthouse,lighthouses,29
boulder,boulders,29
flock,flocks,29
collar,collars,29
pod,pods,29
trailer,trailers,28
notebook,notebooks,28
chef,chefs,28
passport,passports,28
blessing,blessings,28
supper,suppers,28
carpenter,carpenters,28
superhero,superheroes,27
curtain,curtains,27
skyscraper,skyscrapers,27
pigeon,pigeons,27
poster,posters,27
leopard,leopards,26
kitchen,kitchens,26
spectacle,spectacles,26
fixture,fixtures,26
lap,laps,26
tap,taps,26
jar,jars,25
flap,flaps,25
grandparent,grandparents,25
fertilizer,fertilizers,25
mold,molds,25
spill,spills,25
fender,fenders,25
burrow,burrows,25
supermarket,supermarkets,25
cart,carts,25
gallon,gallons,25
clipper,clippers,25
wit,wits,24
garage,garages,24
babe,babes,24
hint,hints,24
ladder,ladders,24
balloon,balloons,24
pill,pills,24
mixer,mixers,23
nail,nails,23
stuff,stuffs,23
butterfly,butterflies,23
thunder,thunders,23
trainer,trainers,23
peg,pegs,23
desk,desks,23
hut,huts,23
rental,rentals,23
lunch,lunches,23
vacation,vacations,23
fool,fools,23
sack,sacks,23
