singular,plural,total_frequency
union,unions,1323
land,lands,1311
character,characters,1304
river,rivers,1303
art,arts,1279
rule,rules,1276
program,programs,1262
computer,computers,1252
value,values,1236
season,seasons,1213
problem,problems,1181
side,sides,1180
version,versions,1167
sea,seas,1149
story,stories,1144
light,lights,1138
cell,cells,1133
position,positions,1130
son,sons,1117
design,designs,1102
movement,movements,1097
kingdom,kingdoms,1089
style,styles,1084
nation,nations,1073
month,months,1067
material,materials,1044
culture,cultures,1041
letter,letters,1025
song,songs,1022
class,classes,1020
society,societies,993
idea,ideas,990
town,towns,982
head,heads,962
person,persons,960
trade,trades,944
attack,attacks,930
band,bands,927
office,offices,926
activity,activities,924
title,titles,920
project,projects,914
issue,issues,910
hand,hands,904
food,foods,901
market,markets,897
territory,territories,895
student,students,881
plant,plants,865
animal,animals,860
condition,conditions,858
concept,concepts,840
site,sites,829
album,albums,827
metal,metals,826
interest,interests,820
temperature,temperatures,799
business,businesses,779
club,clubs,774
color,colors,767
capital,capitals,761
code,codes,753
ship,ships,753
gas,gases,733
rock,rocks,725
degree,degrees,719
television,televisions,707
figure,figures,705
reason,reasons,703
station,stations,703
basis,bases,703
variety,varieties,700
fire,fires,699
plan,plans,696
stage,stages,694
machine,machines,692
engine,engines,684
street,streets,679
cost,costs,677
brother,brothers,671
fact,facts,671
list,lists,669
reaction,reactions,668
release,releases,658
hour,hours,656
matter,matters,653
test,tests,652
road,roads,652
date,dates,642
mother,mothers,637
difference,differences,636
artist,artists,634
writer,writers,629
female,females,626
ground,grounds,619
purpose,purposes,615
director,directors,609
friend,friends,609
week,weeks,599
tree,trees,597
section,sections,595
car,cars,593
mountain,mountains,590
