singular,plural,total_frequency
brick,bricks,116
package,packages,116
peasant,peasants,115
reflection,reflections,115
coat,coats,115
flood,floods,115
wheel,wheels,114
beam,beams,113
monster,monsters,113
sculpture,sculptures,113
feed,feeds,113
disaster,disasters,113
phone,phones,113
shop,shops,112
suggestion,suggestions,111
astronaut,astronauts,111
vegetable,vegetables,111
cap,caps,110
bicycle,bicycles,110
maker,makers,110
skull,skulls,109
appointment,appointments,108
pool,pools,108
ferry,ferries,107
portrait,portraits,107
chocolate,chocolates,106
grave,graves,106
chair,chairs,105
cricket,crickets,105
controller,controllers,105
tea,teas,105
cloud,clouds,105
submarine,submarines,104
trail,trails,104
delivery,deliveries,104
servant,servants,104
dot,dots,103
mirror,mirrors,102
fiber,fibers,102
anchor,anchors,101
sleep,sleeps,101
princess,princesses,101
photograph,photographs,101
rescue,rescues,100
tongue,tongues,99
dolphin,dolphins,99
blade,blades,98
paint,paints,98
tip,tips,98
diesel,diesels,97
pound,pounds,97
slot,slots,97
uncle,uncles,96
talent,talents,95
pyramid,pyramids,95
birthday,birthdays,94
sight,sights,94
barrel,barrels,94
dinosaur,dinosaurs,93
touch,touches,92
flame,flames,92
bread,breads,91
trouble,troubles,90
roof,roofs,90
shoulder,shoulders,89
apartment,apartments,89
hip,hips,89
dress,dresses,89
marker,markers,88
container,containers,88
clause,clauses,88
mood,moods,88
hat,hats,88
rubber,rubbers,87
costume,costumes,87
bullet,bullets,87
bull,bulls,87
bean,beans,85
infant,infants,84
recommendation,recommendations,84
helicopter,helicopters,83
conversation,conversations,83
nerve,nerves,82
fur,furs,81
lung,lungs,81
surprise,surprises,81
grass,grasses,81
cartoon,cartoons,81
bubble,bubbles,80
habit,habits,80
shock,shocks,80
pocket,pockets,79
pig,pigs,78
repair,repairs,78
ticket,tickets,78
lamp,lamps,77
devil,devils,77
pin,pins,77
marble,marbles,76
predator,predators,75
wedding,weddings,75
treasure,treasures,74
nest,nests,74
snake,snakes,74
truck,trucks,73
swing,swings,72
guy,guys,72
helmet,helmets,72
explorer,explorers,72
hurricane,hurricanes,71
probe,probes,71
cow,cows,71
athlete,athletes,71
trick,tricks,70
gear,gears,70
pit,pits,70
meal,meals,70
grandson,grandsons,69
lip,lips,69
tin,tins,69
parade,parades,69
robot,robots,69
mistake,mistakes,69
motorcycle,motorcycles,68
cream,creams,68
palm,palms,68
spice,spices,68
pen,pens,68
flavor,flavors,68
tag,tags,68
nose,noses,68
stake,stakes,67
announcement,announcements,67
feast,feasts,67
pupil,pupils,67
trap,traps,66
packet,packets,66
reward,rewards,66
boot,boots,65
buffer,buffers,63
panther,panthers,63
texture,textures,62
limb,limbs,62
weekend,weekends,62
advertisement,advertisements,61
decoration,decorations,61
obstacle,obstacles,61
walker,walkers,61
runway,runways,60
shelter,shelters,60
poison,poisons,60
duck,ducks,60
pipe,pipes,60
chest,chests,59
lesson,lessons,57
injection,injections,57
hedge,hedges,57
pet,pets,57
flute,flutes,57
dancer,dancers,57
cube,cubes,56
fabric,fabrics,56
needle,needles,56
tile,tiles,56
spy,spies,56
pepper,peppers,56
knife,knives,55
sail,sails,55
blend,blends,54
afternoon,afternoons,54
streak,streaks,54
staple,staples,53
reply,replies,53
chicken,chickens,53
taxi,taxis,53
camel,camels,52
ski,skis,52
sailor,sailors,52
tomato,tomatoes,52
vitamin,vitamins,52
