singular,plural,total_frequency
niece,nieces,22
stall,stalls,22
receipt,receipts,22
clue,clues,22
checker,checkers,22
cranberry,cranberries,22
stair,stairs,21
preview,previews,21
sandwich,sandwiches,21
charm,charms,21
meadow,meadows,21
cherry,cherries,21
dial,dials,21
muzzle,muzzles,21
typewriter,typewriters,20
policeman,policemen,20
footprint,footprints,20
mushroom,mushrooms,20
carpet,carpets,20
stocking,stockings,20
foal,foals,20
sausage,sausages,20
ankle,ankles,20
compartment,compartments,20
subway,subways,20
straw,straws,19
superman,supermen,19
gecko,geckos,19
garnet,garnets,19
waterfall,waterfalls,19
ambulance,ambulances,19
vaccination,vaccinations,19
gambler,gamblers,19
swimmer,swimmers,18
gum,gums,18
knot,knots,18
scrap,scraps,18
ounce,ounces,18
strap,straps,18
weed,weeds,18
dentist,dentists,18
pastry,pastries,18
oyster,oysters,18
bedroom,bedrooms,18
sponge,sponges,18
appliance,appliances,18
wash,washes,18
carrot,carrots,17
mat,mats,17
scanner,scanners,17
bounce,bounces,17
riddle,riddles,17
scratch,scratches,16
ramp,ramps,16
dove,doves,16
belly,bellies,16
vent,vents,16
cop,cops,16
pea,peas,16
donkey,donkeys,16
hen,hens,16
skate,skates,16
beak,beaks,16
villager,villagers,16
hangar,hangars,16
outfit,outfits,16
seam,seams,15
bathroom,bathrooms,15
wreck,wrecks,15
scar,scars,15
hulk,hulks,15
wrap,wraps,15
owl,owls,15
andre,andres,15
helper,helpers,15
tab,tabs,15
raccoon,raccoons,15
necklace,necklaces,15
bracelet,bracelets,15
cab,cabs,14
doodle,doodles,14
tent,tents,14
racer,racers,14
hoop,hoops,14
wrist,wrists,14
refrigerator,refrigerators,14
wheeler,wheelers,14
haul,hauls,14
librarian,librarians,13
transformer,transformers,13
cushion,cushions,13
sewer,sewers,13
penny,pennies,13
picnic,picnics,13
chick,chicks,13
sunflower,sunflowers,13
goodbye,goodbyes,13
plum,plums,13
snack,snacks,13
bump,bumps,13
scrub,scrubs,13
scare,scares,13
gag,gags,13
blanket,blankets,13
stool,stools,13
whip,whips,13
wig,wigs,13
antique,antiques,12
bowel,bowels,12
valentine,valentines,12
pineapple,pineapples,12
chimney,chimneys,12
cracker,crackers,12
saucer,saucers,12
buck,bucks,12
blossom,blossoms,12
rooster,roosters,12
sandal,sandals,12
nipple,nipples,12
snail,snails,12
biscuit,biscuits,12
grab,grabs,12
idiot,idiots,11
confuse,confuses,11
tramp,tramps,11
strawberry,strawberries,11
notch,notches,11
fetch,fetches,11
soybean,soybeans,11
disturb,disturbs,11
beet,beets,11
booster,boosters,11
