singular,plural,total_frequency
language,languages,2981
area,areas,2880
example,examples,2833
name,names,2706
day,days,2693
term,terms,2540
force,forces,2452
member,members,2406
power,powers,2329
church,churches,2226
life,lives,2196
man,men,2142
island,islands,2104
law,laws,2048
case,cases,2032
point,points,2030
human,humans,1964
party,parties,1949
service,services,1933
school,schools,1928
order,orders,1903
line,lines,1853
word,words,1760
family,families,1758
way,ways,1711
place,places,1698
king,kings,1683
water,waters,1681
study,studies,1640
team,teams,1635
music,musics,1601
field,fields,1597
development,developments,1580
age,ages,1550
level,levels,1545
type,types,1544
army,armies,1542
home,homes,1506
effect,effects,1474
president,presidents,1473
production,productions,1416
child,children,1402
woman,women,1393
air,airs,1391
control,controls,1390
body,bodies,1380
space,spaces,1366
player,players,1360
