singular,plural,total_frequency
image,images,582
scale,scales,582
length,lengths,576
border,borders,575
male,males,569
disease,diseases,566
sport,sports,564
thing,things,562
instrument,instruments,550
wall,walls,546
video,videos,545
ad,ads,539
branch,branches,537
question,questions,534
flight,flights,532
forest,forests,529
love,loves,527
paper,papers,524
channel,channels,520
wife,wives,520
collection,collections,514
night,nights,514
signal,signals,509
measure,measures,507
drug,drugs,505
festival,festivals,496
wave,waves,490
ability,abilities,489
mission,missions,487
goal,goals,487
distance,distances,485
citizen,citizens,483
iron,irons,482
vote,votes,482
ball,balls,476
card,cards,475
price,prices,475
stone,stones,467
seat,seats,467
race,races,467
episode,episodes,466
alternative,alternatives,462
arm,arms,461
scene,scenes,459
share,shares,458
resource,resources,457
symbol,symbols,456
direction,directions,452
soldier,soldiers,450
meeting,meetings,449
situation,situations,448
minute,minutes,446
wing,wings,444
magazine,magazines,443
supply,supplies,442
bit,bits,442
weapon,weapons,442
generation,generations,441
vehicle,vehicles,440
officer,officers,439
piece,pieces,439
sign,signs,432
table,tables,429
boy,boys,424
bond,bonds,419
category,categories,417
pattern,patterns,411
track,tracks,410
sale,sales,409
experiment,experiments,407
argument,arguments,403
bill,bills,403
creation,creations,403
slave,slaves,403
root,roots,401
dance,dances,399
travel,travels,398
conference,conferences,395
movie,movies,395
apple,apples,394
doctor,doctors,389
winter,winters,383
tv,tvs,382
press,presses,381
worker,workers,381
village,villages,381
aid,aids,380
block,blocks,374
weight,weights,371
shape,shapes,370
chain,chains,368
connection,connections,364
agency,agencies,364
horse,horses,362
bird,birds,361
foot,feet,360
heart,hearts,359
parent,parents,358
candidate,candidates,357
bear,bears,356
room,rooms,356
tool,tools,356
job,jobs,356
page,pages,355
tour,tours,354
voice,voices,352
ring,rings,352
eye,eyes,352
map,maps,348
speaker,speakers,347
planet,planets,343
contact,contacts,342
medicine,medicines,338
actor,actors,337
adult,adults,334
file,files,333
spring,springs,333
choice,choices,333
window,windows,331
picture,pictures,330
crew,crews,330
fan,fans,321
hospital,hospitals,320
newspaper,newspapers,318
moon,moons,317
bus,buses,313
reserve,reserves,313
enemy,enemies,312
fish,fishes,310
expression,expressions,310
detail,details,310
store,stores,310
copy,copies,306
glass,glasses,304
resident,residents,304
fighter,fighters,303
ruler,rulers,303
sister,sisters,301
search,searches,301
rail,rails,301
message,messages,301
wood,woods,300
quantity,quantities,298
plane,planes,298
master,masters,298
manager,managers,296
brain,brains,295
flag,flags,293
instruction,instructions,292
wind,winds,288
task,tasks,287
guard,guards,286
quarter,quarters,286
path,paths,285
patient,patients,285
judge,judges,285
passenger,passengers,284
prize,prizes,281
hole,holes,277
frame,frames,276
poet,poets,275
item,items,274
carrier,carriers,273
strength,strengths,272
bone,bones,269
height,heights,268
tank,tanks,267
opinion,opinions,265
engineer,engineers,265
pilot,pilots,263
