singular,plural,total_frequency
vulture,vultures,10
dresser,dressers,10
cradle,cradles,10
slice,slices,10
waiter,waiters,10
wreath,wreaths,10
jerk,jerks,10
mallet,mallets,10
jug,jugs,10
piper,pipers,10
wharf,wharves,10
keeper,keepers,9
paw,paws,9
sticker,stickers,9
toast,toasts,9
couch,couches,9
fireman,firemen,9
knob,knobs,9
purse,purses,9
splinter,splinters,9
broom,brooms,9
buster,busters,9
fireplace,fireplaces,9
trolley,trolleys,9
lace,laces,9
escalator,escalators,9
tee,tees,9
snowball,snowballs,9
slack,slacks,9
scorpion,scorpions,9
burger,burgers,9
rocker,rockers,8
loser,losers,8
tack,tacks,8
badger,badgers,8
watercolor,watercolors,8
shoemaker,shoemakers,8
hinge,hinges,8
alligator,alligators,8
firefighter,firefighters,8
whisper,whispers,8
hamburger,hamburgers,8
thrill,thrills,8
bristle,bristles,8
youngster,youngsters,8
rug,rugs,8
whim,whims,8
thigh,thighs,8
boyfriend,boyfriends,8
toilet,toilets,8
skunk,skunks,7
bun,buns,7
viper,vipers,7
tractor,tractors,7
chore,chores,7
collage,collages,7
lorry,lorries,7
barnacle,barnacles,7
erase,erases,7
eyebrow,eyebrows,7
watermelon,watermelons,7
flake,flakes,7
bum,bums,7
paddle,paddles,7
flipper,flippers,7
cheetah,cheetahs,7
nap,naps,6
chipmunk,chipmunks,6
pontoon,pontoons,6
turnip,turnips,6
spaceship,spaceships,6
maze,mazes,6
buggy,buggies,6
wrinkle,wrinkles,6
quill,quills,6
meltdown,meltdowns,6
raspberry,raspberries,6
mess,messes,6
thaw,thaws,6
arrowhead,arrowheads,5
coaster,coasters,5
crumb,crumbs,5
spinner,spinners,5
sting,stings,5
curler,curlers,5
ostrich,ostriches,5
spoon,spoons,5
wrecker,wreckers,5
dipper,dippers,5
flashlight,flashlights,5
squeak,squeaks,5
rooftop,rooftops,5
wand,wands,5
scoop,scoops,5
chameleon,chameleons,5
snowflake,snowflakes,5
picket,pickets,5
finder,finders,5
bale,bales,5
daddy,daddies,5
roommate,roommates,5
