singular,plural,gender,total_frequency
affe,affen,Fem,602
versuch,versuche,Masc,602
brücke,brücken,Fem,591
bahnhof,bahnhöfen,Masc,585
wahre,wahren,Fem,563
beispiel,beispiele,Neut,553
sonne,sonnen,Fem,551
uhr,uhren,Fem,550
ecke,ecken,Fem,549
leer,leeren,Neut,546
gemalt,gemalten,Masc,526
sauber,sauberen,Masc,523
angst,ängste,Fem,520
turm,türme,Masc,517
stein,steine,Masc,498
herrn,herren,Masc,491
papier,papiere,Neut,490
idee,ideen,Fem,485
abend,abende,Masc,472
stift,stifte,Neut,469
straße,straßen,Fem,463
tasche,taschen,Fem,442
würfel,würfeln,Masc,439
licht,lichter,Neut,435
woche,wochen,Fem,429
boot,booten,Neut,428
punkt,punkte,Masc,424
schiene,schienen,Fem,413
film,filmen,Masc,388
kartoffel,kartoffeln,Fem,371
garten,gärten,Masc,364
schnecke,schnecken,Fem,354
freund,freunde,Masc,354
schornstein,schornsteinen,Masc,350
gesicht,gesichter,Neut,346
zweiter,zweite,Masc,341
bauer,bauern,Masc,332
parken,parke,Neut,328
meer,meere,Neut,319
ampel,ampeln,Fem,318
stadt,städte,Fem,317
aufnahme,aufnahmen,Fem,316
stern,sternen,Masc,315
feuerwehr,feuerwehren,Fem,314
ent,enten,Fem,311
lokomotive,lokomotiven,Fem,310
bauernhof,bauernhöfe,Masc,301
feuer,feuern,Masc,299
doktor,doktoren,Masc,295
ring,ringe,Masc,286
kasse,kassen,Fem,286
minute,minuten,Fem,285
glas,gläser,Neut,282
gleis,gleise,Neut,279
letzter,letzten,Fem,278
