singular,plural,gender,total_frequency
verbindung,verbindungen,Fem,23
nachricht,nachrichten,Fem,23
vorstellung,vorstellungen,Fem,23
kino,kinos,Neut,23
kräuter,kräutern,Fem,23
talsperre,talsperren,Fem,23
heirat,heiraten,Fem,23
konstruktion,konstruktionen,Fem,23
richte,richten,Fem,22
leichte,leichten,Fem,22
motte,motten,Fem,22
aussicht,aussichten,Fem,22
weite,weiten,Fem,21
unterlage,unterlagen,Fem,21
stufe,stufen,Fem,21
neunter,neunte,Masc,21
experte,experten,Masc,21
zeichnung,zeichnungen,Fem,21
verpackung,verpackungen,Fem,21
apparat,apparaten,Masc,21
wasserfall,wasserfälle,Masc,21
wüst,wüsten,Neut,21
krankheit,krankheiten,Fem,21
wanderung,wanderungen,Fem,21
vorname,vornamen,Masc,20
trenne,trennen,Fem,20
wärme,wärmen,Fem,20
qualle,quallen,Fem,20
landschaft,landschaften,Fem,20
ideal,ideale,Neut,20
maß,maße,Neut,19
umschlag,umschlagen,Fem,19
öffnung,öffnungen,Fem,19
bude,buden,Neut,19
person,personen,Fem,19
raumschiff,raumschiffe,Neut,18
eiche,eichen,Fem,18
pille,pillen,Fem,18
lüge,lügen,Fem,18
steile,steilen,Fem,18
weise,weisen,Fem,18
ergebnis,ergebnisse,Neut,18
gerades,geraden,Fem,18
aale,aalen,Fem,18
kollege,kollegen,Masc,17
ähnlichen,ähnliche,Neut,17
liste,listen,Fem,17
geschmack,geschmacks,Masc,17
koralle,korallen,Fem,17
album,albums,Neut,17
spezielle,speziellen,Fem,17
protokoll,protokolle,Neut,17
meinung,meinungen,Fem,17
werk,werke,Neut,17
zweig,zweigen,Masc,16
gespräch,gespräche,Neut,16
verschieben,verschiebe,Neut,16
einlage,einlagen,Fem,16
spruch,sprüche,Masc,16
vorrat,vorräte,Masc,16
scheck,schecks,Masc,16
rettungsboot,rettungsboote,Fem,16
stamm,stämme,Masc,16
pumpe,pumpen,Fem,16
masse,massen,Fem,15
sendung,sendungen,Fem,15
programm,programme,Neut,15
buchhandlung,buchhandlungen,Fem,15
eisenbahnstrecke,eisenbahnstrecken,Fem,15
dieb,diebe,Masc,15
strafe,strafen,Fem,15
tapete,tapeten,Masc,15
aktion,aktionen,Fem,15
leitung,leitungen,Fem,15
chip,chips,Masc,15
matrose,matrosen,Fem,15
projekt,projekten,Neut,15
souvenir,souvenirs,Neut,14
zeitschrift,zeitschriften,Fem,14
kabine,kabinen,Fem,14
oberleitung,oberleitungen,Fem,14
säule,säulen,Fem,14
hosenbein,hosenbeinen,Neut,14
erkältung,erkältungen,Fem,14
bemalt,bemalte,Fem,14
note,noten,Fem,14
geheim,geheime,Masc,14
schnitt,schnitten,Masc,14
riesiges,riesigen,Fem,14
zustand,zustände,Masc,14
region,regionen,Fem,14
insekt,insekten,Neut,14
marke,marken,Fem,14
kunde,kunden,Masc,13
sitzung,sitzungen,Fem,13
professor,professoren,Masc,13
knalle,knallen,Fem,13
fackel,fackeln,Masc,13
blieb,bliebe,Masc,13
nilpferde,nilpferden,Fem,13
kunstwerk,kunstwerken,Neut,13
frisur,frisuren,Fem,13
quadrat,quadraten,Fem,13
fotograf,fotografen,Masc,13
ausnahme,ausnahmen,Fem,13
record,recorder,Neut,12
situation,situationen,Fem,12
firma,firmen,Fem,12
modell,modellen,Neut,12
matt,matten,Fem,12
farm,farmen,Fem,12
erlebnis,erlebnisse,Neut,12
verzierung,verzierungen,Fem,12
abteilung,abteilungen,Fem,12
grube,gruben,Masc,12
dummheit,dummheiten,Fem,12
schlimme,schlimmste,Masc,12
verein,vereinen,Masc,12
folge,folgen,Fem,12
geschält,geschälten,Neut,11
automat,automaten,Fem,11
eile,eilen,Fem,11
verspätung,verspätungen,Fem,11
entfernung,entfernungen,Fem,11
adresse,adressen,Fem,11
ereignis,ereignisse,Neut,11
modelleisenbahn,modelleisenbahnen,Fem,11
zeugnis,zeugnisse,Neut,11
erfahrung,erfahrungen,Fem,11
haushalt,haushalten,Masc,11
stärke,stärken,Fem,11
beginn,beginnen,Fem,11
schallplatte,schallplatten,Fem,11
etage,etagen,Fem,11
tour,touren,Fem,11
geburt,geburten,Fem,11
held,helden,Masc,11
student,studenten,Masc,11
vermischt,vermischte,Neut,11
