singular,plural,gender,total_frequency
bild,bilde,Neut,1344
tisch,tischen,Masc,1311
seite,seiten,Fem,1308
paar,paaren,Neut,1293
kopf,köpfe,Masc,1281
kuh,kühe,Fem,1273
mensch,menschen,Masc,1247
farbe,farben,Fem,1177
stück,stücke,Neut,1171
karte,karten,Fem,1156
spiel,spiele,Neut,1076
tag,tage,Masc,1065
auge,augen,Neut,1052
eisenbahn,eisenbahnen,Fem,1026
elefant,elefanten,Masc,1017
flasche,flaschen,Fem,1008
geld,gelder,Neut,1006
nase,nasen,Fem,1000
zeit,zeiten,Fem,971
passe,pässe,Fem,913
teil,teile,Masc,897
wörter,worte,Masc,881
krieg,kriege,Masc,874
junges,jüngste,Neut,860
recht,rechte,Neut,859
bein,beinen,Neut,851
beste,guten,Masc,849
fuß,füße,Masc,848
gott,götter,Masc,842
großes,grosse,Neut,828
bus,busse,Masc,817
stelle,stellen,Fem,816
tunnel,tunneln,Fem,811
haaren,haare,Neut,785
schule,schulen,Fem,714
fenstern,fenster,Neut,705
schiff,schiffe,Neut,689
klasse,klassen,Fem,681
gefahr,gefahren,Fem,680
name,namen,Masc,673
geschichte,geschichten,Fem,667
ohr,ohren,Neut,651
schwein,schweine,Neut,649
arbeit,arbeiten,Fem,643
bahn,bahnen,Fem,639
rad,räder,Neut,633
dach,dächer,Neut,629
blatt,blätter,Neut,628
frage,fragen,Fem,625
