singular,plural,gender,total_frequency
abzug,abzüge,Masc,10
wunde,wunden,Fem,10
abdruck,abdrücke,Masc,10
würfelspiel,würfelspiele,Neut,10
lager,lagern,Neut,10
bedingung,bedingungen,Fem,10
fortschritt,fortschritte,Masc,10
bind,binder,Neut,10
bildes,bilden,Neut,10
bewegung,bewegungen,Fem,10
bombe,bomben,Fem,10
achse,achsen,Fem,9
objekt,objekte,Neut,9
palast,palästen,Masc,9
experiment,experimente,Neut,9
typ,typen,Fem,9
mord,mords,Masc,9
anlage,anlagen,Fem,9
kontinent,kontinente,Masc,9
krug,krüge,Masc,9
volk,völker,Neut,9
separat,separaten,Fem,9
akazie,akazien,Neut,9
original,originale,Neut,9
knabe,knaben,Fem,9
feuchte,feuchten,Fem,9
fähigkeit,fähigkeiten,Fem,8
überschwemmung,überschwemmungen,Fem,8
gestalt,gestalten,Fem,8
christ,christen,Masc,8
eigenname,eigennamen,Fem,8
methode,methoden,Fem,8
rind,rinder,Neut,8
verspricht,versprechen,Neut,8
dekoration,dekorationen,Fem,8
vorbereitung,vorbereitungen,Fem,8
hauptstadt,hauptstädte,Fem,8
material,materialien,Neut,8
mitglied,mitglieder,Neut,8
filmstar,filmstars,Masc,8
mischung,mischungen,Fem,8
wirkt,wirkte,Masc,8
verlag,verlage,Masc,8
auftaucht,auftauchte,Fem,7
oper,opern,Fem,7
unterhaltung,unterhaltungen,Fem,7
vorhanden,vorhandenen,Fem,7
diskussion,diskussionen,Fem,7
angabe,angaben,Fem,7
medikament,medikamente,Neut,7
phase,phasen,Fem,7
gedichts,gedichte,Neut,7
nachfrage,nachfragen,Fem,7
lachend,lachende,Masc,7
spalte,spalten,Masc,7
lob,loben,Neut,7
fundament,fundamente,Neut,7
geschicktes,geschickte,Neut,7
liegende,liegenden,Fem,7
gebiet,gebiete,Neut,7
reserve,reserven,Fem,7
schlucht,schluchten,Masc,7
larve,larven,Fem,6
gröberen,gröbere,Masc,6
lebendiges,lebendige,Neut,6
spanisch,spanischer,Masc,6
maßnahme,maßnahmen,Fem,6
erfindung,erfindungen,Fem,6
defekt,defekte,Neut,6
blondine,blondinen,Fem,6
version,versionen,Fem,6
chaotisch,chaotischen,Masc,6
anspruch,ansprüche,Masc,6
lohn,löhnen,Masc,6
trank,tränke,Fem,6
präsident,präsidenten,Masc,6
ebene,ebenen,Fem,6
liebstes,liebste,Masc,6
leistung,leistungen,Fem,6
farbstoff,farbstoffe,Masc,6
aufforderung,aufforderungen,Fem,6
störung,störungen,Fem,6
konto,konten,Neut,6
zuschlag,zuschlagen,Masc,6
bösewicht,bösewichte,Fem,6
holte,holten,Fem,6
übt,übten,Fem,6
schnäbel,schnäbeln,Fem,6
briefumschlag,briefumschläge,Masc,5
narbe,narben,Fem,5
blattläuse,blattläusen,Fem,5
pflicht,pflichten,Fem,5
durchfahrt,durchfahrten,Fem,5
eigenschaft,eigenschaften,Fem,5
position,positionen,Fem,5
unglückliches,unglückliche,Neut,5
schmuckstück,schmuckstücke,Neut,5
gebet,gebete,Neut,5
zigarre,zigarren,Fem,5
bericht,berichte,Masc,5
manier,manieren,Fem,5
hoffnung,hoffnungen,Fem,5
königlich,königliche,Masc,5
satellit,satelliten,Masc,5
energie,energien,Fem,5
verschwand,verschwanden,Masc,5
grundschule,grundschulen,Fem,5
anweisung,anweisungen,Fem,5
motorrädern,motorräder,Neut,5
entspann,entspannen,Fem,5
entsprechendes,entsprechenden,Neut,5
ballspiel,ballspiele,Neut,5
versuchte,versuchten,Fem,5
vorletzter,vorletzte,Masc,5
absolutes,absolute,Neut,5
ratschlag,ratschläge,Masc,5
erzählung,erzählungen,Fem,5
kreist,kreiste,Masc,5
