singular,plural,gender,total_frequency
dunkel,dunkeln,Neut,274
gefährlich,gefährliche,Masc,270
brille,brillen,Fem,266
wand,wände,Fem,262
runde,runden,Fem,261
see,seen,Masc,254
reihe,reihen,Fem,248
korb,körbe,Masc,247
lied,lieder,Neut,247
mikrofon,mikrofonen,Neut,246
schranke,schranken,Fem,241
glocke,glocken,Fem,237
unfall,unfälle,Masc,236
rolle,rollen,Fem,234
kamel,kamele,Masc,233
kreis,kreises,Masc,230
falle,fällen,Masc,224
berges,bergen,Neut,220
schaufel,schaufeln,Fem,216
geschenk,geschenken,Neut,213
zeitung,zeitungen,Fem,209
süß,süßer,Neut,209
schild,schilder,Neut,208
wind,winde,Masc,205
wald,wälder,Masc,204
buchstabe,buchstaben,Masc,202
problem,probleme,Neut,202
gras,gräser,Neut,202
kette,ketten,Fem,199
tante,tanten,Fem,194
richtung,richtungen,Fem,192
suppe,suppen,Fem,192
baustelle,baustellen,Fem,185
raupe,raupen,Masc,185
wiese,wiesen,Fem,185
ziege,ziegen,Fem,184
stand,stande,Masc,183
kirche,kirchen,Fem,180
traktor,traktoren,Masc,180
harte,harten,Fem,179
zahl,zahlen,Fem,179
bruder,brüder,Masc,176
nachname,nachnamen,Fem,175
rede,reden,Fem,174
besuch,besuche,Masc,174
rest,resten,Masc,172
gleiche,gleichen,Fem,171
bank,banken,Fem,169
flügel,flügeln,Fem,168
tor,tore,Neut,168
nummer,nummern,Fem,168
gekocht,gekochten,Neut,167
zunge,zungen,Fem,167
drache,drachen,Fem,167
tonband,tonbänder,Neut,167
klappe,klappen,Fem,166
könig,könige,Masc,165
räuber,räubern,Masc,164
rand,rande,Masc,162
arzt,ärzte,Masc,161
band,bänder,Neut,161
menge,mengen,Fem,153
vater,vaters,Masc,152
figur,figuren,Fem,152
zettel,zetteln,Fem,149
geräusch,geräusche,Neut,147
reit,reiten,Fem,146
rakete,raketen,Fem,146
straßenbahn,straßenbahnen,Fem,145
kurve,kurven,Fem,143
lauf,laufe,Masc,142
wohnung,wohnungen,Fem,142
pfanne,pfannen,Fem,141
kauf,kaufe,Masc,140
nachmittag,nachmittage,Masc,139
pause,pausen,Fem,136
kasten,kästen,Masc,134
scheibe,scheiben,Fem,129
gebrauche,gebrauchen,Fem,129
spannend,spannenden,Masc,128
schwester,schwestern,Fem,128
welt,welten,Fem,127
batterie,batterien,Fem,126
land,länder,Neut,126
gruppe,gruppen,Fem,124
freundin,freundinnen,Fem,122
dose,dosen,Fem,121
tankstelle,tankstellen,Fem,121
