singular,plural,gender,total_frequency
krone,kronen,Fem,53
vertrag,vertragen,Masc,52
blüte,blüten,Fem,52
miete,mieten,Fem,52
gelegenheit,gelegenheiten,Fem,52
tochter,töchter,Fem,51
plan,pläne,Masc,50
chance,chancen,Fem,50
frucht,früchte,Fem,50
sekunde,sekunden,Fem,50
vorhang,vorhänge,Masc,50
spielern,spieler,Masc,49
griff,griffe,Masc,49
zauber,zaubern,Masc,49
verband,verbände,Masc,48
merkt,merkten,Masc,48
datum,daten,Neut,47
fluß,flüssen,Masc,47
gefühl,gefühlen,Neut,47
anhalt,anhalten,Masc,47
traube,trauben,Fem,47
nachbar,nachbarn,Masc,46
zelt,zelte,Neut,46
dampflokomotive,dampflokomotiven,Fem,46
supermarkt,supermärkte,Masc,46
antwort,antworten,Fem,46
gorilla,gorillas,Masc,46
sinn,sinne,Masc,45
unterschied,unterschiede,Masc,45
ausstellung,ausstellungen,Fem,45
lücke,lücken,Fem,45
fliegende,fliegender,Neut,44
fuhr,fuhren,Masc,44
kreisel,kreiseln,Masc,44
obersten,oberste,Neut,43
passend,passende,Neut,43
hosentasche,hosentaschen,Fem,43
geheimnis,geheimnisse,Neut,43
schwert,schwerter,Neut,43
gang,gänge,Masc,43
nas,nasse,Neut,43
tablett,tabletten,Neut,43
ort,orte,Masc,43
gemischt,gemischte,Neut,42
flug,flüge,Masc,41
wertes,werte,Neut,41
stoff,stoffen,Masc,41
kappe,kappen,Fem,41
lösung,lösungen,Fem,41
angebot,angebote,Neut,41
baustein,bausteinen,Masc,41
bitter,bitteren,Neut,40
kegel,kegels,Neut,40
jäger,jägern,Masc,39
kochtopf,kochtöpfe,Masc,39
dorf,dörfer,Neut,38
mühe,mühen,Fem,38
verlieren,verliere,Neut,38
museum,museen,Neut,38
getränk,getränke,Neut,38
kaulquappe,kaulquappen,Fem,37
mühle,mühlen,Fem,37
höhe,höhen,Fem,37
schrei,schreie,Fem,37
trick,tricks,Masc,36
helle,hellen,Fem,36
bube,buben,Fem,36
autobahn,autobahnen,Fem,35
sonnenbrille,sonnenbrillen,Fem,35
schein,scheine,Masc,35
fläche,flächen,Fem,35
gestreift,gestreifte,Neut,34
freude,freuden,Fem,34
fach,fächern,Neut,34
schaden,schäden,Masc,34
schicht,schichten,Fem,34
schrift,schriften,Fem,34
lippe,lippen,Fem,33
postkarte,postkarten,Fem,33
schwierigkeit,schwierigkeiten,Fem,33
kraft,kräften,Fem,33
happe,happen,Fem,33
entdecken,entdecke,Masc,33
stau,staus,Masc,32
folie,folien,Fem,32
fabrik,fabriken,Fem,32
blick,blicken,Masc,32
ausdruck,ausdrücke,Masc,32
fünfter,fünften,Masc,32
patient,patienten,Masc,31
bäckerei,bäckereien,Fem,31
klug,klugen,Fem,31
begriff,begriffen,Masc,31
abfall,abfallen,Fem,31
hülle,hüllen,Fem,30
gedanke,gedanken,Masc,30
bulle,bullen,Masc,30
kunst,künste,Fem,30
steuer,steuern,Fem,29
floh,flöhe,Neut,29
einkauf,einkäufe,Masc,29
ziel,ziele,Neut,29
schuld,schulden,Fem,29
baumstamm,baumstämme,Masc,29
thema,themen,Neut,28
kleinigkeit,kleinigkeiten,Fem,28
überraschung,überraschungen,Fem,28
prospekt,prospekte,Masc,27
grauer,graue,Masc,27
übung,übungen,Fem,27
absperrung,absperrungen,Fem,26
duft,duften,Masc,26
ingenieur,ingenieure,Masc,26
euro,euros,Neut,26
zwilling,zwillingen,Masc,25
gegenstand,gegenständen,Masc,25
kreuzung,kreuzungen,Fem,25
unterschiedliche,unterschiedlichen,Fem,25
termin,termine,Masc,25
haltestelle,haltestellen,Fem,25
katastrophe,katastrophen,Fem,25
schlosses,schlösser,Neut,24
spaziergang,spaziergänge,Masc,24
fahrplan,fahrpläne,Masc,24
fliegern,flieger,Masc,24
last,lasten,Fem,24
station,stationen,Fem,24
traum,träume,Masc,24
rohr,rohre,Neut,24
ratte,ratten,Fem,24
million,millionen,Fem,24
