singular,plural,gender,total_frequency
negative,negativen,Fem,4
detail,details,Neut,4
theaterstück,theaterstücke,Neut,4
wirbel,wirbeln,Masc,4
schärfe,schärfen,Fem,4
bauwerk,bauwerke,Neut,4
mönch,mönche,Masc,4
ventilator,ventilatoren,Masc,4
hofft,hoffte,Neut,4
japanische,japanischen,Fem,4
hinweis,hinweisen,Masc,4
glied,glieder,Neut,4
sparkasse,sparkassen,Fem,4
unsicher,unsicheren,Masc,4
verpflichtung,verpflichtungen,Fem,4
spaniern,spanier,Masc,4
kraftwerk,kraftwerke,Neut,4
getrockneter,getrocknete,Masc,4
feind,feinde,Masc,4
neuestes,neueste,Masc,4
artist,artisten,Fem,4
strenge,strengen,Fem,4
professionell,professionellen,Fem,4
tätigkeit,tätigkeiten,Fem,4
rüstung,rüstungen,Fem,4
information,informationen,Fem,4
umrandung,umrandungen,Fem,4
mild,milder,Neut,4
familienname,familiennamen,Fem,4
admiral,admirale,Neut,4
symbol,symbole,Neut,4
architekt,architekten,Masc,4
abmachung,abmachungen,Fem,4
drittel,dritteln,Neut,4
schwäche,schwächen,Fem,4
endung,endungen,Fem,4
order,orders,Fem,4
beschlag,beschlagen,Fem,4
gabe,gaben,Fem,4
männliche,männlichen,Fem,4
allererst,allerersten,Fem,3
waffe,waffen,Fem,3
untersuchung,untersuchungen,Fem,3
reservat,reservaten,Neut,3
überreicht,überreichte,Fem,3
handel,handels,Masc,3
hinge,hingen,Fem,3
explosion,explosionen,Fem,3
ferienhaus,ferienhäuser,Neut,3
entdeckung,entdeckungen,Fem,3
voraussetzung,voraussetzungen,Fem,3
hervorragende,hervorragenden,Fem,3
veranstaltung,veranstaltungen,Fem,3
neigung,neigungen,Fem,3
glaubensrichtung,glaubensrichtungen,Fem,3
steppe,steppen,Fem,3
komplex,komplexe,Masc,3
erbe,erben,Neut,3
bemerkung,bemerkungen,Fem,3
beobachtung,beobachtungen,Fem,3
bedürfnis,bedürfnisse,Neut,3
waagerecht,waagerechte,Neut,3
rekord,rekorde,Masc,3
vermutung,vermutungen,Fem,3
wechselhaft,wechselhaften,Fem,3
rufname,rufnamen,Fem,3
zeile,zeilen,Fem,3
autor,autoren,Masc,3
armbanduhr,armbanduhren,Fem,3
franzose,franzosen,Masc,3
stromleitung,stromleitungen,Fem,3
argument,argumenten,Neut,3
äußerung,äußerungen,Fem,3
kuppel,kuppeln,Fem,3
planierraupe,planierraupen,Fem,3
ernsthaftes,ernsthaften,Fem,3
trat,traten,Neut,3
malerei,malereien,Fem,3
knappe,knappen,Fem,3
schwäbischen,schwäbische,Masc,3
schnittpunkt,schnittpunkten,Masc,2
kleidungsstück,kleidungsstücken,Fem,2
herrschaft,herrschaften,Fem,2
böschung,böschungen,Fem,2
aktiven,aktive,Neut,2
hausarbeit,hausarbeiten,Fem,2
anstrengung,anstrengungen,Fem,2
erschütterung,erschütterungen,Fem,2
bröckelt,bröckelte,Neut,2
grabstein,grabsteinen,Masc,2
rinn,rinnen,Fem,2
züchtung,züchtungen,Fem,2
schwenkt,schwenkte,Masc,2
meisterwerk,meisterwerke,Neut,2
gefechts,gefechtes,Masc,2
ölfeld,ölfelder,Neut,2
provokation,provokationen,Fem,2
zugang,zugänge,Masc,2
europäischer,europäischen,Masc,2
baracke,baracken,Fem,2
reaktion,reaktionen,Fem,2
fabrikant,fabrikanten,Masc,2
unternehmung,unternehmungen,Fem,2
faktor,faktoren,Masc,2
benennung,benennungen,Fem,2
begrenzung,begrenzungen,Masc,2
verschlang,verschlangen,Masc,2
weibliche,weiblichen,Fem,2
kontext,kontexten,Fem,2
zugehörigkeit,zugehörigkeiten,Fem,2
feststellung,feststellungen,Fem,2
begann,begannen,Masc,2
wasserdicht,wasserdichte,Fem,2
wetterlage,wetterlagen,Fem,2
verzicht,verzichte,Masc,2
reichtum,reichtümer,Masc,2
heer,heere,Neut,2
kleinkind,kleinkinder,Neut,2
fleckig,fleckigen,Neut,2
ruine,ruinen,Fem,2
kommentar,kommentare,Masc,2
tauschgeschäft,tauschgeschäfte,Fem,2
verletzung,verletzungen,Fem,2
nachspiel,nachspielen,Neut,2
