singular,plural,total_frequency
starts,start,498
suggests,suggest,496
believes,believe,492
offers,offer,460
gets,get,454
leaves,leave,453
covers,cover,453
faces,face,452
reads,read,445
passes,pass,423
flows,flow,402
spreads,spread,383
begins,begin,383
seems,seem,359
stands,stand,357
keeps,keep,353
involves,involve,345
stops,stop,338
carries,carry,334
tends,tend,330
knows,know,328
develops,develop,326
brings,bring,319
looks,look,307
pays,pay,299
explains,explain,294
cares,care,293
applies,apply,279
meets,meet,275
adds,add,256
depends,depend,250
speaks,speak,231
dies,die,230
thinks,think,227
tells,tell,220
wants,want,217
draws,draw,212
grows,grow,205
joins,join,203
