singular,plural,total_frequency
verlangt,verlangen,10
kennenlernt,kennenlernen,10
schwingt,schwingen,9
auftritt,auftreten,9
darstellt,darstellen,9
wirkt,wirken,8
testet,testen,8
schmückt,schmücken,8
beherrscht,beherrschen,8
streut,streuen,8
kreist,kreisen,8
stattfindet,stattfinden,7
befindet,befinden,7
durchknetet,durchkneten,7
blickt,blicken,7
reinigt,reinigen,7
spiegelt,spiegeln,6
verbietet,verbieten,5
verhält,verhalten,5
orientiert,orientieren,5
verfällt,verfallen,5
schweigt,schweigen,5
vermag,vermögen,5
taugt,taugen,5
diskutiert,diskutieren,5
konstruiert,konstruieren,5
sendet,senden,5
zusammenhängt,zusammenhängen,5
