singular,plural,total_frequency
weht,wehen,23
bietet,bieten,21
brütet,brüten,20
einfällt,einfallen,19
richtet,richten,19
färbt,färben,19
trennt,trennen,18
erscheint,erscheinen,18
vermischt,vermischen,17
kontrolliert,kontrollieren,17
ergibt,ergeben,16
schlüpft,schlüpfen,16
berichtet,berichten,15
erhält,erhalten,15
schleift,schleifen,15
vermutet,vermuten,14
wiederfindet,wiederfinden,14
tötet,töten,14
begegnet,begegnen,14
lautet,lauten,14
saugt,saugen,14
lehnt,lehnen,13
sperrt,sperren,13
verstopft,verstopfen,13
veranstaltet,veranstalten,12
klärt,klären,12
schwebt,schweben,11
behauptet,behaupten,11
bildet,bilden,11
