minimal_pair,paradigm,delta_score_42_childes,delta_score_13_childes,delta_score_30_childes,delta_score_42_wiki,delta_score_13_wiki,delta_score_30_wiki,delta_avg_childes,delta_avg_wiki
"the roommate awaits the guests and complains about the noise, the roommates await the guests and complains about the noise",long_vp_coord,1.6678285598754883,1.032900810241701,0.16522789001464844,0.6322412490844727,1.5788445472717285,2.1215577125549316,0.9553190867106126,1.4442145029703777
"the roommates await the guests and complain about the noise, the roommate awaits the guests and complain about the noise",long_vp_coord,-0.9143295288085938,-0.6933822631835938,0.050789833068847656,0.334556579589842,-0.7749714851379412,0.3357377052307129,-0.5189739863077799,-0.03489240010579545
"the roommate awaits the guests and arrives at the station, the roommates await the guests and arrives at the station",long_vp_coord,-0.21222209930419922,-0.3368773460388148,-1.6391353607177734,0.515017509460451,0.8974514007568377,0.2644958496093768,-0.7294116020202625,0.5589882532755551
"the roommates await the guests and arrive at the station, the roommate awaits the guests and arrive at the station",long_vp_coord,0.9741163253784162,0.43540477752685547,0.5595588684082013,0.221646308898924,1.9789953231811541,1.2844314575195295,0.6563599904378243,1.161691029866536
"the roommate awaits the guests and disappears from the scene, the roommates await the guests and disappears from the scene",long_vp_coord,0.2528266906738281,0.2905120849609357,-0.10147857666015625,-1.0063886642456072,0.5660705566406268,-0.28967666625976385,0.14728673299153586,-0.2433315912882481
"the roommates await the guests and disappear from the scene, the roommate awaits the guests and disappear from the scene",long_vp_coord,-0.1710872650146502,-0.7341833114624023,-0.4031248092651385,1.4518041610717773,1.3773574829101562,1.679361343383789,-0.43613179524739704,1.5028409957885742
"the roommate awaits the guests and bows to the king, the roommates await the guests and bows to the king",long_vp_coord,-0.25546932220458984,0.16639709472655895,0.32186222076416193,0.724647045135498,-0.08209896087646662,1.2320151329040527,0.07759666442871034,0.624854405721028
"the roommates await the guests and bow to the king, the roommate awaits the guests and bow to the king",long_vp_coord,-0.1919202804565412,0.3071279525756836,-0.34211444854736506,-0.03848171234131037,0.22216796875,-0.0020866394042986514,-0.07563559214274089,0.06053320566813033
"the roommate awaits the guests and hides from the chicken, the roommates await the guests and hides from the chicken",long_vp_coord,-0.578463554382326,-0.4676513671875,-1.2295398712158185,0.8357219696044922,0.8703355789184588,0.4161534309387189,-0.7585515975952148,0.7074036598205566
"the roommates await the guests and hide from the chicken, the roommate awaits the guests and hide from the chicken",long_vp_coord,0.030185699462890625,-0.3643341064453125,-0.2775068283081037,-0.4639320373535174,-1.2486419677734357,0.3757338523864746,-0.2038850784301752,-0.44561338424682617
