singular,plural,gender,total_frequency
cuisinier,cuisiniers,Masc,17
scorpion,scorpions,Fem,17
service,services,Masc,17
poison,poisons,Fem,17
bricolage,bricolages,Masc,17
rime,rimes,Fem,17
manette,manettes,Fem,17
titre,titres,Masc,17
cabinet,cabinets,Masc,16
recette,recettes,Fem,16
collection,collections,Fem,16
conte,contes,Masc,15
case,cases,Masc,15
billet,billets,Masc,15
bagage,bagages,Masc,15
plate,plates,Masc,15
dossier,dossiers,Masc,15
test,tests,Masc,14
soldat,soldats,Masc,14
combat,combats,Masc,13
balade,balades,Fem,13
chanteur,chanteurs,Masc,13
aquarium,aquariums,Masc,13
paysage,paysages,Masc,13
otarie,otaries,Fem,13
verger,vergers,Fem,13
fourrure,fourrures,Masc,13
musicien,musiciens,Masc,13
canon,canons,Masc,13
volante,volants,Masc,13
milliard,milliards,Masc,13
menteur,menteuses,Fem,13
conversation,conversations,Fem,13
facture,factures,Fem,12
colline,collines,Fem,12
situation,situations,Fem,12
buisson,buissons,Fem,12
partition,partitions,Fem,12
occasion,occasions,Fem,12
patient,patients,Masc,11
combinaison,combinaisons,Fem,11
acrobatie,acrobaties,Fem,11
manifestation,manifestations,Fem,11
nourrice,nourrices,Fem,11
aventure,aventures,Fem,11
virage,virages,Masc,11
stage,stages,Masc,10
tradition,traditions,Fem,10
projet,projets,Masc,10
conseil,conseils,Masc,10
action,actions,Fem,10
preuve,preuves,Fem,10
descente,descentes,Fem,10
urgence,urgences,Fem,10
vol,vols,Masc,10
mouvement,mouvements,Masc,10
station,stations,Fem,10
avantage,avantages,Masc,10
solution,solutions,Fem,9
lame,lames,Masc,9
cercle,cercles,Masc,9
commission,commissions,Fem,9
article,articles,Masc,9
dispute,disputes,Fem,9
science,sciences,Fem,9
