singular,plural,gender,total_frequency
baguette,baguettes,Fem,74
goutte,gouttes,Fem,74
cause,causes,Fem,72
femme,femmes,Fem,71
chiffre,chiffres,Masc,70
bosse,bosses,Fem,69
pigeon,pigeons,Masc,65
marteau,marteaux,Masc,65
voyage,voyages,Masc,64
attache,attaches,Fem,63
violon,violons,Fem,63
bloc,blocs,Masc,62
personnage,personnages,Masc,61
moteur,moteurs,Masc,61
spot,spots,Masc,60
bureau,bureaux,Masc,58
cascade,cascades,Fem,57
journal,journaux,Masc,57
niveau,niveaux,Masc,57
haute,hautes,Fem,57
vague,vagues,Fem,56
ligne,lignes,Fem,56
prise,prises,Fem,54
end,ends,Masc,54
prince,princes,Fem,53
ascenseur,ascenseurs,Masc,53
cuit,cuits,Masc,52
termine,termines,Fem,51
chemise,chemises,Fem,51
voie,voies,Fem,49
momie,momies,Fem,49
masque,masques,Masc,49
rail,rails,Fem,48
pilote,pilotes,Masc,48
tambour,tambours,Masc,48
chef,chefs,,48
voleur,voleurs,Masc,48
tache,taches,Fem,46
solide,solides,Fem,46
violette,violettes,Fem,45
reine,reines,Fem,45
fatigue,fatigues,Fem,45
brute,brutes,Fem,45
baisse,baisses,Masc,44
squelette,squelettes,Fem,44
signe,signes,Masc,44
marchand,marchandes,Masc,43
autruche,autruches,Fem,43
banc,bancs,Masc,43
dieu,dieux,Masc,43
village,villages,Masc,42
note,notes,Fem,42
dragon,dragons,Fem,42
trace,traces,Fem,42
raisin,raisins,Fem,42
pop,pops,Fem,41
produit,produits,Masc,41
ceinture,ceintures,Fem,40
circuit,circuits,Masc,40
carreau,carreaux,Masc,40
orteil,orteils,Masc,40
effort,efforts,Masc,39
amie,amies,Fem,39
doute,doutes,Masc,39
passage,passages,Masc,37
soulier,souliers,Masc,37
construction,constructions,Fem,37
branche,branches,,37
