singular,plural,gender,total_frequency
boite,boites,Masc,156
pouce,pouces,Masc,154
affaire,affaires,Fem,153
question,questions,Fem,152
mouche,mouches,Fem,152
chance,chances,Fem,148
accident,accidents,Masc,148
sage,sages,Masc,148
manteau,manteaux,Masc,147
exemple,exemples,Masc,143
mince,minces,Fem,141
cassette,cassettes,Fem,132
douche,douches,Fem,126
pont,ponts,Masc,124
paquet,paquets,Fem,122
boucle,boucles,Masc,120
bougie,bougies,Fem,119
rue,rues,Fem,119
escalier,escaliers,Masc,118
taille,tailles,Fem,113
ange,anges,Masc,111
toilette,toilettes,Fem,111
cousine,cousines,Fem,110
spectacle,spectacles,Masc,109
chouette,chouettes,Fem,107
tiroir,tiroirs,Masc,106
fauteuil,fauteuils,Masc,105
pince,pinces,Fem,105
mise,mises,Fem,102
vide,vides,Fem,101
route,routes,Fem,100
force,forces,Fem,97
chaude,chaudes,Fem,96
peau,peaux,Fem,94
requin,requins,Masc,93
vie,vies,Fem,92
caisse,caisses,Fem,86
mien,miens,Masc,85
coffre,coffres,Masc,85
crabe,crabes,Masc,84
catastrophe,catastrophes,Fem,84
homme,hommes,Masc,84
tableau,tableaux,Masc,83
tarte,tartes,Masc,82
mort,morts,Masc,82
mercredi,mercredis,Masc,77
wagon,wagons,Masc,77
manche,manches,Fem,76
