singular,plural,gender,total_frequency
capsule,capsules,Fem,4
barrage,barrages,Masc,4
distraction,distractions,Fem,4
sauteur,sauteurs,Fem,4
inondation,inondations,Fem,4
jet,jets,Masc,4
interruption,interruptions,Fem,4
contrat,contrats,Masc,4
insulte,insultes,Masc,4
association,associations,Fem,4
immobile,immobiles,Fem,4
piton,pitons,Masc,4
silhouette,silhouettes,Fem,4
parasite,parasites,Fem,4
vaccin,vaccins,Masc,4
analyse,analyses,Fem,4
farce,farces,Fem,4
intention,intentions,Fem,4
prononciation,prononciations,Fem,4
volcan,volcans,Fem,4
lanterne,lanternes,Fem,4
commerce,commerces,Fem,4
opposition,oppositions,Fem,4
rapace,rapaces,Fem,3
butte,buttes,Fem,3
missile,missiles,Masc,3
pneumatique,pneumatiques,Fem,3
tatouage,tatouages,Masc,3
spectateur,spectateurs,Masc,3
veine,veines,Fem,3
achat,achats,Masc,3
projection,projections,Fem,3
croquant,croquants,Masc,3
discussion,discussions,Fem,3
cartouche,cartouches,Fem,3
traitement,traitements,Masc,3
constructeur,constructeurs,Masc,3
visiteur,visiteurs,Masc,3
embouteillage,embouteillages,Masc,3
exception,exceptions,Fem,2
peinte,peintes,Fem,2
entreprise,entreprises,Fem,2
appellation,appellations,Fem,2
profondeur,profondeurs,Masc,2
intervention,interventions,Fem,2
tentation,tentations,Fem,2
terme,termes,Masc,2
bronche,bronches,Fem,2
dimension,dimensions,Fem,2
allusion,allusions,Fem,2
