singular,plural,gender,total_frequency
enfant,enfants,,667
animal,animaux,Masc,601
tour,tours,Masc,598
vache,vaches,Fem,581
raison,raisons,Fem,579
oreille,oreilles,Fem,566
pomme,pommes,Masc,564
an,ans,Masc,544
place,places,Fem,528
soir,soirs,Masc,524
pain,pains,Masc,504
cache,caches,Fem,471
air,airs,Masc,448
besoin,besoins,Masc,440
parti,partis,Masc,438
cerise,cerises,Fem,437
jouet,jouets,Fem,436
pot,pots,Masc,428
carte,cartes,Masc,427
chapeau,chapeaux,Masc,425
suite,suites,Fem,417
puce,puces,Fem,417
monde,mondes,Fem,416
droit,droits,Masc,409
pose,poses,Fem,389
camion,camions,Fem,388
micro,micros,Masc,372
photo,photos,Fem,366
puzzle,puzzles,Fem,363
avion,avions,Masc,359
cuisine,cuisines,Fem,359
chanson,chansons,Fem,357
couche,couches,Fem,355
crocodile,crocodiles,Masc,353
moment,moments,Masc,350
page,pages,Fem,349
lettre,lettres,Masc,329
bouton,boutons,Fem,326
