singular,plural,gender,total_frequency
compte,comptes,Masc,315
papier,papiers,Masc,314
vacance,vacances,Fem,314
dame,dames,Masc,311
patte,pattes,Fem,310
lion,lions,Masc,309
balle,balles,Fem,308
nom,noms,Masc,306
ensemble,ensembles,Fem,303
coupe,coupes,Masc,297
minute,minutes,Fem,296
part,parts,,295
film,films,Masc,291
nuit,nuits,Fem,281
perdu,perdus,Masc,281
grenouille,grenouilles,Fem,278
danse,danses,Fem,276
ami,amis,Masc,272
jambe,jambes,Fem,270
anniversaire,anniversaires,Masc,264
lunette,lunettes,Fem,230
singe,singes,Fem,229
tomate,tomates,Fem,227
classe,classes,Fem,226
lance,lances,Fem,226
forme,formes,Fem,215
bord,bords,Masc,213
verte,vertes,Masc,213
mur,murs,Fem,212
pierre,pierres,Fem,208
avance,avances,Fem,205
bouchon,bouchons,Masc,201
fourchette,fourchettes,Fem,194
semaine,semaines,Fem,192
tigre,tigres,Masc,183
plante,plantes,Fem,182
course,courses,Fem,180
change,changes,Masc,180
famille,familles,Fem,174
pompier,pompiers,Masc,171
ordinateur,ordinateurs,Masc,164
machine,machines,Fem,164
mot,mots,Masc,162
docteur,docteurs,Fem,161
point,points,Masc,161
