singular,plural,gender,total_frequency
emploi,emplois,Masc,8
lecteur,lecteurs,Masc,8
tonne,tonnes,Fem,8
choisie,choisies,Fem,8
gamine,gamins,Fem,8
joueur,joueurs,Masc,8
connaissance,connaissances,Fem,8
sein,seins,Masc,8
ballade,ballades,Fem,7
chevreuil,chevreuils,Masc,7
appel,appels,Masc,7
promesse,promesses,Fem,7
fonction,fonctions,Fem,7
emballage,emballages,Masc,7
astuce,astuces,Fem,7
baie,baies,Fem,7
transport,transports,Masc,7
cellule,cellules,Fem,7
couple,couples,Masc,7
notion,notions,Fem,7
erreur,erreurs,Fem,7
presse,presses,Fem,7
pression,pressions,Fem,7
explication,explications,Fem,7
origine,origines,Fem,6
annonce,annonces,Fem,6
roseau,roseaux,Masc,6
uniforme,uniformes,Fem,6
transcription,transcriptions,Fem,6
sculpture,sculptures,Fem,6
boulet,boulets,Masc,6
tablette,tablettes,Fem,6
galet,galets,Masc,6
copie,copies,Fem,6
galerie,galeries,Fem,5
apprentie,apprentis,Fem,5
ventilateur,ventilateurs,Fem,5
contexte,contextes,Masc,5
endormie,endormies,Fem,5
acteur,actrices,Masc,5
crue,crues,Fem,5
illustration,illustrations,Fem,5
plaquette,plaquettes,Fem,5
baron,barons,Fem,5
reprise,reprises,Fem,5
document,documents,Masc,5
caverne,cavernes,Masc,5
temple,temples,Masc,5
site,sites,Masc,5
