singular,plural,total_frequency
joins,join,47
relaxes,relax,47
recognizes,recognize,45
serves,serve,44
shouts,shout,43
disappears,disappear,42
sucks,suck,41
freezes,freeze,41
borrows,borrow,40
invites,invite,38
favors,favor,34
sheds,shed,31
rises,rise,30
suggests,suggest,28
shines,shine,27
expects,expect,27
offers,offer,27
smashes,smash,27
raises,raise,26
seaweeds,seaweed,26
delivers,deliver,25
leads,lead,24
boils,boil,23
blames,blame,22
escapes,escape,21
settles,settle,21
describes,describe,19
depends,depend,18
arrives,arrive,17
