singular,plural,gender,total_frequency
cassette,cassettes,Fem,15
toilette,toilettes,Fem,15
chemise,chemises,Fem,15
raisin,raisins,Fem,15
distraction,distractions,Fem,14
verger,vergers,Fem,14
trottoir,trottoirs,Masc,14
transcription,transcriptions,Fem,14
tambour,tambours,Masc,14
rime,rimes,Fem,14
carreau,carreaux,Masc,14
finie,finies,Fem,14
pince,pinces,Fem,14
lapin,lapins,Fem,13
pouce,pouces,Masc,13
cartouche,cartouches,Fem,13
bascule,bascules,Fem,13
marteau,marteaux,Masc,13
cerise,cerises,Fem,13
voleur,voleurs,Masc,13
stage,stages,Masc,12
rapace,rapaces,Fem,12
bourdon,bourdons,Masc,12
endormie,endormies,Fem,12
vaccin,vaccins,Masc,12
galet,galets,Masc,12
cuisinier,cuisiniers,Masc,11
crabe,crabes,Masc,11
apprentie,apprentis,Fem,11
bougie,bougies,Fem,11
immobile,immobiles,Fem,11
volante,volants,Masc,11
violon,violons,Fem,11
micro,micros,Masc,11
missile,missiles,Masc,10
sanglier,sangliers,Masc,10
boite,boites,Masc,10
mouette,mouettes,Fem,10
baguette,baguettes,Fem,10
bagarre,bagarres,Masc,10
sourcil,sourcils,Masc,9
chouette,chouettes,Fem,9
aquarium,aquariums,Masc,9
mouche,mouches,Fem,9
wagon,wagons,Masc,9
cuit,cuits,Masc,9
goutte,gouttes,Fem,9
sotte,sots,Fem,8
ventilateur,ventilateurs,Fem,8
otarie,otaries,Fem,8
insulte,insultes,Masc,8
douche,douches,Fem,8
lanterne,lanternes,Fem,8
