singular,plural,gender,total_frequency
minute,minutes,Fem,244
transport,transports,Masc,243
opposition,oppositions,Fem,242
connaissance,connaissances,Fem,239
besoin,besoins,Masc,237
note,notes,Fem,234
termine,termines,Fem,231
contrat,contrats,Masc,230
magazine,magazines,Fem,224
avion,avions,Masc,220
avantage,avantages,Masc,215
dimension,dimensions,Fem,211
capitaine,capitaines,Masc,209
section,sections,Fem,208
beau,beaux,Masc,206
couple,couples,Masc,206
voiture,voitures,Fem,206
crise,crises,Fem,205
lance,lances,Fem,203
solution,solutions,Fem,202
bloc,blocs,Masc,198
emploi,emplois,Masc,196
pilote,pilotes,Masc,192
couche,couches,Fem,191
preuve,preuves,Fem,190
tonne,tonnes,Fem,189
chiffre,chiffres,Masc,184
oeil,yeux,Masc,184
perdu,perdus,Masc,183
exception,exceptions,Fem,181
appel,appels,Masc,178
maladie,maladies,Fem,176
pression,pressions,Fem,175
case,cases,Masc,174
effort,efforts,Masc,172
spectateur,spectateurs,Masc,170
trace,traces,Fem,170
reine,reines,Fem,169
somme,sommes,Fem,169
aventure,aventures,Fem,164
vitesse,vitesses,Fem,164
intervention,interventions,Fem,163
contexte,contextes,Masc,162
collection,collections,Fem,162
carte,cartes,Masc,160
analyse,analyses,Fem,159
vol,vols,Masc,159
document,documents,Masc,159
cercle,cercles,Masc,148
colline,collines,Fem,147
traitement,traitements,Masc,147
profondeur,profondeurs,Masc,146
page,pages,Fem,145
lecteur,lecteurs,Masc,144
panneau,panneaux,Masc,142
manche,manches,Fem,139
spectacle,spectacles,Masc,136
machine,machines,Fem,136
poisson,poissons,Masc,136
avance,avances,Fem,135
milliard,milliards,Masc,135
bureau,bureaux,Masc,131
manifestation,manifestations,Fem,128
attention,attentions,Fem,125
