singular,plural,gender,total_frequency
butte,buttes,Fem,30
vase,vases,Fem,30
pain,pains,Masc,30
mince,minces,Fem,30
rail,rails,Fem,29
tronc,troncs,Masc,29
fourrure,fourrures,Masc,29
jouet,jouets,Fem,28
squelette,squelettes,Fem,28
rayure,rayures,Fem,27
fatigue,fatigues,Fem,26
pomme,pommes,Masc,26
fauteuil,fauteuils,Masc,26
ordinateur,ordinateurs,Masc,25
poison,poisons,Fem,25
tentation,tentations,Fem,25
bouton,boutons,Fem,25
vache,vaches,Fem,24
silhouette,silhouettes,Fem,24
coffre,coffres,Masc,24
minuscule,minuscules,Masc,24
pompier,pompiers,Masc,24
veine,veines,Fem,23
parasite,parasites,Fem,23
cochon,cochons,Fem,23
partition,partitions,Fem,23
ballade,ballades,Fem,22
cache,caches,Fem,22
rat,rats,Masc,22
emballage,emballages,Masc,21
chapeau,chapeaux,Masc,21
pot,pots,Masc,20
caverne,cavernes,Masc,20
volet,volets,Masc,20
coton,cotons,Fem,19
mercredi,mercredis,Masc,18
interruption,interruptions,Fem,18
superbe,superbes,Masc,18
vilaine,vilaines,Fem,18
camion,camions,Fem,17
pneumatique,pneumatiques,Fem,17
lame,lames,Masc,17
facture,factures,Fem,17
roseau,roseaux,Masc,16
brute,brutes,Fem,16
ascenseur,ascenseurs,Masc,16
