singular,plural,gender,total_frequency
personnage,personnages,Masc,996
mort,morts,Masc,967
centre,centres,Masc,943
titre,titres,Masc,935
famille,familles,Fem,914
femme,femmes,Fem,902
saison,saisons,Fem,892
droit,droits,Masc,858
part,parts,,858
tour,tours,Masc,853
site,sites,Masc,849
niveau,niveaux,Masc,844
raison,raisons,Fem,821
exemple,exemples,Masc,817
ensemble,ensembles,Fem,814
origine,origines,Fem,805
enfant,enfants,,773
projet,projets,Masc,762
livre,livres,,760
cheval,chevaux,Masc,737
maison,maisons,Fem,701
parti,partis,Masc,679
ordre,ordres,Masc,677
joueur,joueurs,Masc,674
pont,ponts,Masc,656
pierre,pierres,Fem,654
compte,comptes,Masc,650
chanson,chansons,Fem,628
service,services,Masc,624
construction,constructions,Fem,619
animal,animaux,Masc,615
force,forces,Fem,606
dieu,dieux,Masc,596
conseil,conseils,Masc,581
cause,causes,Fem,579
produit,produits,Masc,569
chef,chefs,,548
mouvement,mouvements,Masc,542
terme,termes,Masc,526
retour,retours,Masc,525
mise,mises,Fem,521
fonction,fonctions,Fem,510
rue,rues,Fem,507
voie,voies,Fem,501
