singular,plural,gender,total_frequency
lettre,lettres,Masc,492
prince,princes,Fem,480
attaque,attaques,Fem,478
mesure,mesures,Fem,476
action,actions,Fem,468
station,stations,Fem,467
sein,seins,Masc,464
route,routes,Fem,459
recherche,recherches,Fem,457
temple,temples,Masc,451
position,positions,Fem,444
situation,situations,Fem,444
moment,moments,Masc,442
heure,heures,Fem,436
prise,prises,Fem,431
image,images,Fem,425
sujet,sujets,Masc,418
signe,signes,Masc,414
passage,passages,Masc,388
couleur,couleurs,Masc,385
main,mains,Fem,380
mot,mots,Masc,379
association,associations,Fem,366
lion,lions,Masc,362
annonce,annonces,Fem,361
question,questions,Fem,359
combat,combats,Masc,357
semaine,semaines,Fem,357
occasion,occasions,Fem,356
reprise,reprises,Fem,355
moteur,moteurs,Masc,352
affaire,affaires,Fem,347
montre,montres,Masc,342
presse,presses,Fem,339
mur,murs,Fem,338
village,villages,Masc,335
chambre,chambres,Fem,334
classe,classes,Fem,328
taille,tailles,Fem,326
article,articles,Masc,324
liste,listes,Fem,321
tradition,traditions,Fem,315
entreprise,entreprises,Fem,315
soldat,soldats,Masc,307
doute,doutes,Masc,304
coupe,coupes,Masc,302
nuit,nuits,Fem,301
tableau,tableaux,Masc,300
chose,choses,Fem,299
commerce,commerces,Fem,297
course,courses,Fem,295
ami,amis,Masc,295
voyage,voyages,Masc,294
journal,journaux,Masc,294
haute,hautes,Fem,286
air,airs,Masc,268
acteur,actrices,Masc,261
dragon,dragons,Fem,261
science,sciences,Fem,257
bord,bords,Masc,255
concert,concerts,Masc,254
commission,commissions,Fem,253
train,trains,Masc,252
adulte,adultes,Masc,251
hauteur,hauteurs,Masc,249
