singular,plural,gender,total_frequency
oreille,oreilles,Fem,62
uniforme,uniformes,Fem,61
bouche,bouches,Masc,61
barrage,barrages,Masc,60
patient,patients,Masc,58
bruit,bruits,Masc,58
cuisine,cuisines,Fem,58
batterie,batteries,Fem,57
puzzle,puzzles,Fem,56
projection,projections,Fem,56
exercice,exercices,Fem,56
avocat,avocats,Masc,55
promesse,promesses,Fem,55
escalier,escaliers,Masc,55
cabinet,cabinets,Masc,55
billet,billets,Masc,54
descente,descentes,Fem,54
jambe,jambes,Fem,51
anniversaire,anniversaires,Masc,51
prononciation,prononciations,Fem,51
singe,singes,Fem,51
appellation,appellations,Fem,50
end,ends,Masc,50
muscle,muscles,Masc,50
dossier,dossiers,Masc,50
cousine,cousines,Fem,49
baron,barons,Fem,49
boucle,boucles,Masc,48
urgence,urgences,Fem,47
passager,passagers,Masc,46
corbeau,corbeaux,Masc,46
conversation,conversations,Fem,46
catastrophe,catastrophes,Fem,45
grain,grains,Masc,45
tigre,tigres,Masc,43
marchand,marchandes,Masc,41
peinte,peintes,Fem,40
vacance,vacances,Fem,40
combinaison,combinaisons,Fem,39
amie,amies,Fem,39
photo,photos,Fem,38
masque,masques,Masc,38
buisson,buissons,Fem,37
choisie,choisies,Fem,35
grenouille,grenouilles,Fem,35
chaude,chaudes,Fem,34
attache,attaches,Fem,33
rouleau,rouleaux,Masc,33
ballon,ballons,Masc,33
virage,virages,Masc,33
jet,jets,Masc,32
tube,tubes,Masc,32
lunette,lunettes,Fem,32
