singular,plural,gender,total_frequency
branche,branches,,124
canon,canons,Masc,123
cascade,cascades,Fem,122
vide,vides,Fem,122
notion,notions,Fem,122
chanteur,chanteurs,Masc,121
baie,baies,Fem,121
soir,soirs,Masc,121
erreur,erreurs,Fem,121
paysage,paysages,Masc,120
pointe,pointes,Fem,120
plante,plantes,Fem,120
pose,poses,Fem,118
conte,contes,Masc,117
soin,soins,Masc,115
table,tables,Fem,114
musicien,musiciens,Masc,112
change,changes,Masc,112
vague,vagues,Fem,111
matin,matins,Masc,110
visiteur,visiteurs,Masc,110
intention,intentions,Fem,109
circuit,circuits,Masc,106
constructeur,constructeurs,Masc,106
balle,balles,Fem,105
fleur,fleurs,Fem,105
chien,chiens,Masc,103
chat,chats,Masc,103
danse,danses,Fem,102
monsieur,messieurs,Masc,101
accident,accidents,Masc,101
volcan,volcans,Fem,99
requin,requins,Masc,99
manteau,manteaux,Masc,96
cellule,cellules,Fem,95
message,messages,Masc,95
lourde,lourdes,Fem,94
loisir,loisirs,Masc,94
chance,chances,Fem,92
achat,achats,Masc,92
solide,solides,Fem,91
copie,copies,Fem,89
ceinture,ceintures,Fem,87
peau,peaux,Fem,86
ange,anges,Masc,85
docteur,docteurs,Fem,85
inondation,inondations,Fem,84
dispute,disputes,Fem,83
illustration,illustrations,Fem,83
galerie,galeries,Fem,82
tablette,tablettes,Fem,81
discussion,discussions,Fem,80
baisse,baisses,Masc,80
explication,explications,Fem,80
papier,papiers,Masc,78
sculpture,sculptures,Fem,78
recette,recettes,Fem,77
crue,crues,Fem,74
allusion,allusions,Fem,73
plate,plates,Masc,72
patte,pattes,Fem,71
test,tests,Masc,70
dame,dames,Masc,68
appartement,appartements,Masc,67
tache,taches,Fem,67
verte,vertes,Masc,67
banc,bancs,Masc,67
caisse,caisses,Fem,67
pop,pops,Fem,64
sage,sages,Masc,63
