singular,plural,total_frequency
block,blocks,1485
apple,apples,1439
friend,friends,1414
child,children,1407
floor,floors,1398
sleep,sleeps,1392
fix,fixes,1381
cow,cows,1377
food,foods,1352
birthday,birthdays,1341
light,lights,1320
part,parts,1308
stuff,stuffs,1302
finger,fingers,1288
job,jobs,1270
store,stores,1270
bag,bags,1251
mother,mothers,1204
page,pages,1200
word,words,1178
side,sides,1164
pig,pigs,1163
song,songs,1128
letter,letters,1112
touch,touches,1092
idea,ideas,1090
flower,flowers,1083
wheel,wheels,1058
snow,snows,1037
shirt,shirts,1020
bath,baths,1001
coffee,coffees,974
cream,creams,968
spoon,spoons,961
place,places,946
chicken,chickens,942
dinosaur,dinosaurs,932
lunch,lunches,886
rabbit,rabbits,881
bus,buses,875
brush,brushes,874
ring,rings,871
elephant,elephants,859
fire,fires,850
wash,washes,846
mine,mines,836
cake,cakes,830
hole,holes,828
bottle,bottles,822
number,numbers,819
boat,boats,815
tea,teas,812
airplane,airplanes,802
week,weeks,792
doll,dolls,781
puzzle,puzzles,775
lion,lions,767
recorder,recorders,766
matter,matters,763
glass,glasses,763
bug,bugs,755
arm,arms,753
phone,phones,751
party,parties,744
tail,tails,740
window,windows,729
chocolate,chocolates,721
dinner,dinners,705
frog,frogs,689
pant,pants,687
nap,naps,677
toe,toes,676
roll,rolls,675
camera,cameras,671
blanket,blankets,668
rock,rocks,666
doctor,doctors,656
kitchen,kitchens,654
