singular,plural,total_frequency
seed,seeds,281
pool,pools,278
class,classes,276
squeak,squeaks,275
rug,rugs,275
trip,trips,271
hospital,hospitals,270
band,bands,270
fruit,fruits,269
wagon,wagons,267
body,bodies,266
soap,soaps,265
plant,plants,264
goodbye,goodbyes,264
farmer,farmers,264
space,spaces,263
bone,bones,259
alligator,alligators,257
bucket,buckets,257
hook,hooks,254
tissue,tissues,249
corner,corners,245
suit,suits,244
fence,fences,244
tomato,tomatoes,243
trick,tricks,241
dragon,dragons,238
ladder,ladders,238
land,lands,235
pipe,pipes,235
boop,boops,234
hour,hours,233
carriage,carriages,233
figure,figures,232
roof,roofs,230
town,towns,223
pin,pins,221
worm,worms,220
chip,chips,220
voice,voices,219
sea,seas,219
surprise,surprises,218
mountain,mountains,218
jacket,jackets,218
woman,women,217
world,worlds,217
grab,grabs,213
knife,knives,212
spin,spins,211
trunk,trunks,211
bathroom,bathrooms,210
pet,pets,210
gum,gums,207
point,points,206
sink,sinks,206
rooster,roosters,205
whale,whales,204
office,offices,204
bat,bats,203
gas,gases,203
month,months,201
barrel,barrels,201
state,states,200
vegetable,vegetables,195
nail,nails,191
bicycle,bicycles,191
afternoon,afternoons,191
case,cases,190
pea,peas,190
nest,nests,189
stone,stones,187
sign,signs,187
station,stations,185
suitcase,suitcases,184
dot,dots,183
reason,reasons,183
tear,tears,183
picnic,picnics,182
ship,ships,182
weekend,weekends,182
thumb,thumbs,180
aid,aids,180
accident,accidents,179
city,cities,178
pepper,peppers,177
switch,switches,176
princess,princesses,176
stool,stools,172
pile,piles,170
wing,wings,169
rubber,rubbers,168
camel,camels,167
edge,edges,167
river,rivers,165
row,rows,165
crib,cribs,164
wire,wires,164
rope,ropes,164
wave,waves,163
vacation,vacations,163
tom,toms,162
candle,candles,162
purse,purses,158
toad,toads,158
glove,gloves,157
plastic,plastics,157
piano,pianos,157
winter,winters,156
map,maps,156
cent,cents,156
scratch,scratches,155
rainbow,rainbows,155
desk,desks,155
wrap,wraps,155
baseball,baseballs,152
valentine,valentines,148
helicopter,helicopters,148
bench,benches,148
quarter,quarters,147
cone,cones,144
bill,bills,144
race,races,144
seal,seals,143
magazine,magazines,143
panda,pandas,142
cube,cubes,141
hamburger,hamburgers,141
cherry,cherries,141
cloud,clouds,141
giant,giants,140
bar,bars,138
fireman,firemen,138
lip,lips,137
zipper,zippers,136
broom,brooms,136
scare,scares,136
necklace,necklaces,136
hulk,hulks,135
group,groups,135
ambulance,ambulances,134
cost,costs,133
shelf,shelves,132
dessert,desserts,131
ghost,ghosts,130
type,types,129
chest,chests,129
shop,shops,129
television,televisions,129
skin,skins,128
scoop,scoops,127
chase,chases,127
list,lists,127
toilet,toilets,127
waffle,waffles,126
order,orders,126
