singular,plural,total_frequency
ton,tons,23
signal,signals,23
texture,textures,23
uniform,uniforms,23
journey,journeys,23
imagination,imaginations,23
pigeon,pigeons,23
manager,managers,22
badger,badgers,22
repair,repairs,22
flipper,flippers,22
beet,beets,22
slack,slacks,22
scorpion,scorpions,22
pattern,patterns,21
tantrum,tantrums,21
headlight,headlights,21
sunflower,sunflowers,21
chore,chores,21
hoop,hoops,21
critter,critters,21
clipper,clippers,21
handkerchief,handkerchiefs,21
trail,trails,20
weight,weights,20
classroom,classrooms,20
speaker,speakers,20
supply,supplies,20
cell,cells,20
duty,duties,20
panther,panthers,20
tab,tabs,20
pod,pods,20
sweatshirt,sweatshirts,20
hunter,hunters,20
carpenter,carpenters,20
typewriter,typewriters,19
session,sessions,19
interest,interests,19
curler,curlers,19
argument,arguments,19
hedge,hedges,19
bumblebee,bumblebees,19
poison,poisons,19
cavity,cavities,19
joy,joys,19
oyster,oysters,19
section,sections,19
tale,tales,19
sight,sights,19
character,characters,19
channel,channels,18
microscope,microscopes,18
rail,rails,18
palm,palms,18
reflection,reflections,18
example,examples,18
spice,spices,18
hut,huts,18
theater,theaters,18
chef,chefs,18
gear,gears,18
level,levels,18
flood,floods,18
muzzle,muzzles,18
ankle,ankles,18
blast,blasts,18
crust,crusts,18
muppet,muppets,18
servant,servants,18
submarine,submarines,17
scene,scenes,17
niece,nieces,17
lighthouse,lighthouses,17
hammock,hammocks,17
diver,divers,17
fossil,fossils,17
strength,strengths,17
fetch,fetches,17
tile,tiles,17
service,services,17
item,items,17
file,files,16
skull,skulls,16
seahorse,seahorses,16
freak,freaks,16
picker,pickers,16
staple,staples,15
transformer,transformers,15
issue,issues,15
vehicle,vehicles,15
male,males,15
watercolor,watercolors,15
experiment,experiments,15
bomb,bombs,15
lorry,lorries,15
reaction,reactions,15
flight,flights,15
degree,degrees,15
rocker,rockers,14
shuttle,shuttles,14
pain,pains,14
suggestion,suggestions,14
gentleman,gentlemen,14
coupon,coupons,14
eyeball,eyeballs,14
fee,fees,14
igloo,igloos,14
vulture,vultures,14
blossom,blossoms,14
handlebar,handlebars,14
scout,scouts,14
female,females,14
disaster,disasters,14
shock,shocks,14
slave,slaves,14
flame,flames,14
version,versions,14
reptile,reptiles,13
fashion,fashions,13
librarian,librarians,13
prune,prunes,13
infection,infections,13
maze,mazes,13
shoemaker,shoemakers,13
sailor,sailors,13
obstacle,obstacles,13
chameleon,chameleons,13
lung,lungs,13
activity,activities,13
comet,comets,13
whip,whips,13
goal,goals,13
runway,runways,12
length,lengths,12
superhero,superheroes,12
partner,partners,12
ounce,ounces,12
advertisement,advertisements,12
mold,molds,12
grave,graves,12
musician,musicians,12
expression,expressions,12
frost,frosts,12
border,borders,12
shoelace,shoelaces,12
lace,laces,12
villager,villagers,12
basis,bases,12
loon,loons,12
disk,disks,11
bond,bonds,11
notebook,notebooks,11
sewer,sewers,11
herb,herbs,11
blade,blades,11
title,titles,11
rooftop,rooftops,11
charm,charms,11
crew,crews,11
habit,habits,11
spine,spines,11
harvest,harvests,11
limb,limbs,11
clause,clauses,11
exhibit,exhibits,11
lime,limes,11
mallet,mallets,11
album,albums,11
bundle,bundles,11
haul,hauls,11
compartment,compartments,11
