singular,plural,total_frequency
capital,capitals,10
grandson,grandsons,10
swimmer,swimmers,10
blower,blowers,10
turnip,turnips,10
injection,injections,10
force,forces,10
expert,experts,10
connection,connections,10
writer,writers,10
pheasant,pheasants,10
smokestack,smokestacks,10
movement,movements,10
predator,predators,10
platform,platforms,10
singer,singers,10
throne,thrones,10
weapon,weapons,10
director,directors,9
ad,ads,9
buffer,buffers,9
rebel,rebels,9
anchor,anchors,9
speck,specks,9
infant,infants,9
packet,packets,9
hinge,hinges,9
acrobat,acrobats,9
responsibility,responsibilities,9
hurricane,hurricanes,9
tour,tours,9
development,developments,9
sample,samples,9
option,options,9
gambler,gamblers,9
boyfriend,boyfriends,9
hound,hounds,9
judge,judges,9
coaster,coasters,8
idiot,idiots,8
tack,tacks,8
stall,stalls,8
bride,brides,8
mission,missions,8
announcement,announcements,8
pupil,pupils,8
receipt,receipts,8
wildflower,wildflowers,8
opinion,opinions,8
firecracker,firecrackers,8
interview,interviews,8
passport,passports,8
riddle,riddles,8
bale,bales,8
burrow,burrows,8
gallon,gallons,8
wheeler,wheelers,8
thigh,thighs,8
bruise,bruises,8
skill,skills,7
blend,blends,7
comment,comments,7
reunion,reunions,7
reply,replies,7
pyramid,pyramids,7
variety,varieties,7
possibility,possibilities,7
height,heights,7
rambler,ramblers,7
porpoise,porpoises,7
camper,campers,7
fabric,fabrics,7
effect,effects,7
youngster,youngsters,7
socket,sockets,7
detail,details,7
fender,fenders,7
invention,inventions,7
vaccination,vaccinations,7
streak,streaks,7
spinner,spinners,6
condition,conditions,6
concept,concepts,6
viper,vipers,6
airline,airlines,6
pontoon,pontoons,6
talent,talents,6
cartridge,cartridges,6
spectacle,spectacles,6
ability,abilities,6
skyscraper,skyscrapers,6
andre,andres,6
culture,cultures,6
image,images,6
collage,collages,6
disease,diseases,6
photographer,photographers,6
meter,meters,6
quill,quills,6
meltdown,meltdowns,6
enemy,enemies,6
foal,foals,6
jerk,jerks,6
creation,creations,6
code,codes,6
disturb,disturbs,6
drug,drugs,6
resident,residents,6
release,releases,6
expedition,expeditions,5
task,tasks,5
nerve,nerves,5
arrangement,arrangements,5
candidate,candidates,5
bowel,bowels,5
grandparent,grandparents,5
fertilizer,fertilizers,5
teen,teens,5
flock,flocks,5
assumption,assumptions,5
nation,nations,5
improvement,improvements,5
conference,conferences,5
kernel,kernels,5
festival,festivals,5
feast,feasts,5
blizzard,blizzards,5
wrinkle,wrinkles,5
controller,controllers,5
pastry,pastries,5
production,productions,5
barnacle,barnacles,5
cable,cables,5
bullet,bullets,5
waiter,waiters,5
buyer,buyers,5
personality,personalities,5
portrait,portraits,5
disc,discs,5
selection,selections,5
whim,whims,5
hangar,hangars,5
postcard,postcards,5
athlete,athletes,5
liner,liners,5
