singular,plural,total_frequency
year,years,650
moon,moons,635
dress,dresses,635
monster,monsters,620
bubble,bubbles,615
pen,pens,582
bread,breads,569
balloon,balloons,560
cereal,cereals,554
movie,movies,548
wonder,wonders,546
snake,snakes,544
seat,seats,540
bottom,bottoms,534
street,streets,534
toast,toasts,530
life,lives,530
music,musics,524
tv,tvs,509
engine,engines,508
pie,pies,507
card,cards,507
tiger,tigers,507
pocket,pockets,507
mess,messes,505
shape,shapes,503
plate,plates,497
carrot,carrots,491
person,persons,490
peanut,peanuts,485
brother,brothers,480
track,tracks,478
sister,sisters,475
telephone,telephones,470
dance,dances,466
swing,swings,463
cracker,crackers,460
farm,farms,457
wall,walls,456
ground,grounds,450
bean,beans,447
sky,skies,441
basket,baskets,439
dollar,dollars,439
hope,hopes,434
hammer,hammers,426
paint,paints,425
line,lines,423
sugar,sugars,421
butterfly,butterflies,419
air,airs,418
bump,bumps,415
sandwich,sandwiches,413
sticker,stickers,409
lap,laps,407
bounce,bounces,404
supper,suppers,402
spill,spills,398
grape,grapes,398
couple,couples,395
tire,tires,394
neck,necks,391
tractor,tractors,389
feed,feeds,383
policeman,policemen,380
triangle,triangles,380
mail,mails,379
snack,snacks,378
bike,bikes,371
owl,owls,366
driver,drivers,362
rain,rains,360
chick,chicks,359
mirror,mirrors,359
press,presses,356
boot,boots,355
problem,problems,355
road,roads,353
question,questions,352
trouble,troubles,351
belly,bellies,345
garage,garages,345
wood,woods,343
motorcycle,motorcycles,342
uncle,uncles,340
pot,pots,339
grass,grasses,339
medicine,medicines,337
donkey,donkeys,337
tunnel,tunnels,333
fox,foxes,331
tie,ties,330
strawberry,strawberries,329
share,shares,328
puppet,puppets,327
machine,machines,327
penny,pennies,326
bell,bells,324
tool,tools,321
tongue,tongues,319
sand,sands,317
battery,batteries,316
wind,winds,316
dish,dishes,316
plane,planes,311
refrigerator,refrigerators,306
couch,couches,305
king,kings,304
clock,clocks,301
family,families,300
teacher,teachers,300
coat,coats,297
heart,hearts,296
aunt,aunts,295
nurse,nurses,294
knee,knees,293
stair,stairs,292
