singular,plural,total_frequency
painter,painters,4
symbol,symbols,4
antique,antiques,4
confuse,confuses,4
generation,generations,4
stake,stakes,4
dipper,dippers,4
reservation,reservations,4
category,categories,4
request,requests,4
vent,vents,4
notch,notches,4
attachment,attachments,4
society,societies,4
consequence,consequences,4
actor,actors,4
scraper,scrapers,4
rental,rentals,4
thrill,thrills,4
episode,episodes,4
bristle,bristles,4
poet,poets,4
blessing,blessings,4
suspicion,suspicions,4
value,values,4
preparation,preparations,4
notion,notions,4
thaw,thaws,4
recommendation,recommendations,4
contact,contacts,4
reward,rewards,4
loser,losers,3
arrowhead,arrowheads,3
troublemaker,troublemakers,3
vision,visions,3
lyric,lyrics,3
wit,wits,3
peasant,peasants,3
wrecker,wreckers,3
trainer,trainers,3
companion,companions,3
resource,resources,3
cartwheel,cartwheels,3
scanner,scanners,3
serpent,serpents,3
invitation,invitations,3
fiber,fibers,3
racer,racers,3
picket,pickets,3
wreath,wreaths,3
vaccine,vaccines,3
soybean,soybeans,3
scrubber,scrubbers,3
alternative,alternatives,3
gag,gags,3
intention,intentions,3
territory,territories,3
appliance,appliances,3
citizen,citizens,3
probe,probes,3
measurement,measurements,3
seam,seams,2
quantity,quantities,2
gecko,geckos,2
preview,previews,2
generalization,generalizations,2
garnet,garnets,2
thicket,thickets,2
column,columns,2
shelter,shelters,2
fixture,fixtures,2
drift,drifts,2
cop,cops,2
carbohydrate,carbohydrates,2
panel,panels,2
union,unions,2
locker,lockers,2
prospector,prospectors,2
finder,finders,2
lease,leases,2
roommate,roommates,2
reserve,reserves,2
agency,agencies,2
associate,associates,2
wharf,wharves,2
