singular,plural,total_frequency
mushroom,mushrooms,124
forest,forests,124
costume,costumes,121
scrub,scrubs,121
player,players,120
doodle,doodles,120
mistake,mistakes,120
curtain,curtains,119
marker,markers,118
jar,jars,117
flap,flaps,117
cage,cages,117
plan,plans,116
chimney,chimneys,114
fact,facts,114
pole,poles,113
shadow,shadows,113
restaurant,restaurants,112
branch,branches,110
cord,cords,109
moment,moments,109
hen,hens,109
war,wars,108
computer,computers,108
planet,planets,108
package,packages,107
parent,parents,107
church,churches,107
container,containers,106
country,countries,106
olive,olives,104
mat,mats,103
snail,snails,103
diamond,diamonds,102
prize,prizes,102
bracelet,bracelets,102
tip,tips,101
ceiling,ceilings,101
sale,sales,101
pad,pads,99
tap,taps,99
erase,erases,99
angel,angels,98
tent,tents,98
fan,fans,98
cart,carts,98
straw,straws,96
cap,caps,96
crumb,crumbs,95
village,villages,95
spring,springs,94
shoulder,shoulders,94
watermelon,watermelons,94
sponge,sponges,94
island,islands,93
direction,directions,93
mall,malls,93
fur,furs,91
carpet,carpets,91
dentist,dentists,91
skunk,skunks,90
choice,choices,90
field,fields,90
toddler,toddlers,90
video,videos,89
lamp,lamps,89
helmet,helmets,89
flag,flags,89
raccoon,raccoons,89
stomach,stomachs,89
market,markets,88
gift,gifts,87
instrument,instruments,87
robot,robots,87
sword,swords,87
pound,pounds,86
supermarket,supermarkets,86
difference,differences,86
crane,cranes,85
calf,calves,85
bum,bums,85
son,sons,83
paw,paws,83
parade,parades,83
nickel,nickels,83
babe,babes,83
knot,knots,82
scar,scars,82
rule,rules,82
sentence,sentences,81
tank,tanks,81
vitamin,vitamins,81
flavor,flavors,80
hint,hints,80
age,ages,80
biscuit,biscuits,79
hood,hoods,78
mixer,mixers,77
grasshopper,grasshoppers,77
chain,chains,77
storm,storms,77
tee,tees,77
iron,irons,76
bedroom,bedrooms,76
meal,meals,76
racket,rackets,75
sheet,sheets,75
patient,patients,75
brick,bricks,74
study,studies,74
newspaper,newspapers,74
skate,skates,74
ticket,tickets,74
loop,loops,73
pilot,pilots,73
raspberry,raspberries,72
beer,beers,72
plum,plums,71
trade,trades,71
log,logs,71
chance,chances,70
measure,measures,70
railroad,railroads,70
cradle,cradles,70
rocket,rockets,70
dolphin,dolphins,69
eyebrow,eyebrows,69
metal,metals,69
soldier,soldiers,68
wife,wives,68
fellow,fellows,68
taxi,taxis,68
art,arts,67
passenger,passengers,66
beak,beaks,66
onion,onions,65
coke,cokes,65
load,loads,65
meeting,meetings,65
sail,sails,64
saucer,saucers,63
splinter,splinters,63
cartoon,cartoons,63
cape,capes,62
language,languages,62
float,floats,62
scale,scales,62
arrow,arrows,61
builder,builders,60
project,projects,60
tag,tags,60
oval,ovals,60
test,tests,59
power,powers,59
trailer,trailers,59
human,humans,59
rescue,rescues,59
wrist,wrists,58
astronaut,astronauts,57
evening,evenings,57
statue,statues,57
tube,tubes,57
club,clubs,56
buck,bucks,56
team,teams,56
sting,stings,55
cricket,crickets,55
needle,needles,55
exercise,exercises,55
