singular,plural,total_frequency
hand,hands,3302
name,names,3285
color,colors,3138
bear,bears,3085
girl,girls,3054
picture,pictures,2826
water,waters,2741
cat,cats,2693
chair,chairs,2686
bed,beds,2547
bird,birds,2467
night,nights,2441
lot,lots,2434
toy,toys,2402
home,homes,2390
dog,dogs,2323
day,days,2293
minute,minutes,2285
school,schools,2246
room,rooms,2217
piece,pieces,2199
head,heads,2173
man,men,2156
truck,trucks,2144
hair,hairs,2128
hat,hats,2107
milk,milks,2050
foot,feet,2012
love,loves,1887
paper,papers,1879
table,tables,1837
eye,eyes,1828
story,stories,1824
mouth,mouths,1790
bit,bits,1778
guy,guys,1754
shoe,shoes,1751
nose,noses,1675
tree,trees,1655
door,doors,1606
animal,animals,1594
duck,ducks,1593
tape,tapes,1574
egg,eggs,1559
fish,fishes,1531
horse,horses,1529
morning,mornings,1513
